x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
-0.000688,0.119241,0.384050,0.985057,0.391498,-0.128153,-0.076241,0.112672,0.327077,0.448347,0.124803,-0.105820,0.655164,0.640765,0.369946
-0.000309,0.119063,0.384029,0.985100,0.391700,-0.127923,-0.076508,0.112638,0.327004,0.447867,0.124885,-0.105950,0.655062,0.640765,0.369946
-0.000720,0.119402,0.383155,0.985100,0.391700,-0.128159,-0.076252,0.112279,0.327004,0.447867,0.124754,-0.105860,0.654561,0.640765,0.369946
-0.000294,0.119130,0.384228,0.985100,0.391700,-0.127924,-0.076457,0.112960,0.327068,0.447902,0.124889,-0.105927,0.655026,0.640788,0.370102
-0.000664,0.119249,0.384463,0.983965,0.391151,-0.128132,-0.076322,0.112078,0.327068,0.447902,0.124824,-0.105861,0.654954,0.640788,0.370102
-0.000494,0.119075,0.385582,0.984020,0.391354,-0.127924,-0.076446,0.112396,0.327001,0.447422,0.124861,-0.105953,0.654653,0.640346,0.370287
-0.000630,0.119090,0.386145,0.984020,0.391354,-0.128090,-0.076361,0.112667,0.326963,0.449938,0.124795,-0.105933,0.654600,0.641736,0.369579
-0.000499,0.119058,0.384520,0.984020,0.391354,-0.127988,-0.076364,0.112488,0.327535,0.448638,0.124873,-0.105888,0.654981,0.641736,0.369579
-0.000579,0.119162,0.385908,0.984020,0.391354,-0.127952,-0.076413,0.111871,0.326993,0.446979,0.124864,-0.105914,0.654984,0.640348,0.370442
-0.000602,0.119038,0.385715,0.984975,0.391537,-0.128104,-0.076343,0.112780,0.327479,0.448156,0.124796,-0.105912,0.654518,0.640348,0.370442
-0.000499,0.119039,0.386472,0.984020,0.391354,-0.128001,-0.076406,0.111990,0.326993,0.446979,0.124874,-0.105890,0.655060,0.640348,0.370442
-0.000628,0.119069,0.386145,0.985347,0.391489,-0.128096,-0.076375,0.112787,0.326993,0.446979,0.124843,-0.105879,0.654943,0.640348,0.370442
-0.000483,0.119035,0.386336,0.985032,0.391739,-0.127995,-0.076415,0.112132,0.326924,0.446499,0.124867,-0.105894,0.655017,0.641736,0.369579
-0.000593,0.119035,0.385593,0.985032,0.391739,-0.128088,-0.076344,0.112431,0.326889,0.449011,0.124837,-0.105850,0.654839,0.640346,0.370287
-0.000478,0.119060,0.386597,0.985032,0.391739,-0.128015,-0.076423,0.112036,0.326924,0.446499,0.124874,-0.105900,0.655081,0.640346,0.370287
-0.000586,0.119080,0.386009,0.985032,0.391739,-0.128084,-0.076341,0.112688,0.326821,0.448530,0.124841,-0.105855,0.654936,0.639044,0.369487
-0.000499,0.119062,0.387097,0.985032,0.391739,-0.128021,-0.076435,0.111927,0.326821,0.448530,0.124874,-0.105898,0.655083,0.639044,0.369487
-0.000574,0.119094,0.386058,0.985032,0.391739,-0.128093,-0.076316,0.112415,0.326821,0.448530,0.124812,-0.105909,0.654513,0.640371,0.370599
-0.000558,0.119028,0.385272,0.985032,0.391739,-0.128078,-0.076382,0.112325,0.327402,0.447231,0.124846,-0.105885,0.654855,0.640371,0.370599
-0.000334,0.119147,0.384579,0.985078,0.391941,-0.127994,-0.076425,0.112047,0.327353,0.449740,0.124840,-0.105942,0.654569,0.640371,0.370599
-0.000580,0.119197,0.384058,0.984755,0.391050,-0.128027,-0.076301,0.112713,0.327353,0.449740,0.124836,-0.105858,0.655093,0.640371,0.370599
-0.000372,0.119173,0.384949,0.985078,0.391941,-0.127986,-0.076469,0.112671,0.327353,0.449740,0.124891,-0.105902,0.655286,0.639044,0.369487
-0.000567,0.119039,0.385464,0.985032,0.391739,-0.128081,-0.076346,0.112531,0.326814,0.448087,0.124840,-0.105874,0.654967,0.639044,0.369487
-0.000500,0.119033,0.386427,0.984755,0.391050,-0.128062,-0.076390,0.112368,0.327296,0.449257,0.124859,-0.105892,0.654988,0.640371,0.370599
-0.607144,-0.446882,0.094124,0.355912,0.807682,-0.763648,-0.684068,-0.026356,0.353695,0.907360,-0.439628,-0.684451,0.066433,0.409114,0.741295
-0.606952,-0.446973,0.093894,0.355912,0.807682,-0.763540,-0.684089,-0.024564,0.353695,0.907360,-0.439456,-0.684517,0.066270,0.409114,0.741295
-0.600047,-0.439553,0.139242,0.355912,0.807682,-0.759387,-0.680739,-0.008343,0.353695,0.907360,-0.433825,-0.677484,0.091669,0.408839,0.739844
-0.579458,-0.421650,0.195017,0.354911,0.824495,-0.740334,-0.662974,0.027541,0.355938,0.904716,-0.418814,-0.659579,0.123212,0.406313,0.729804
-0.551666,-0.395976,0.241730,0.354972,0.815631,-0.712271,-0.632913,0.070232,0.356739,0.890383,-0.396653,-0.634122,0.167322,0.405137,0.729148
-0.527886,-0.375279,0.267283,0.355084,0.811815,-0.688555,-0.606765,0.092748,0.355637,0.878492,-0.378236,-0.612573,0.186144,0.409417,0.704257
-0.497784,-0.349567,0.296136,0.353394,0.745633,-0.658310,-0.577316,0.119009,0.355891,0.854761,-0.354737,-0.586706,0.216043,0.416225,0.679648
-0.473922,-0.327692,0.319095,0.354828,0.725588,-0.633565,-0.552685,0.142849,0.356361,0.843875,-0.335527,-0.565831,0.240976,0.419496,0.655783
-0.449132,-0.306140,0.348498,0.356763,0.703351,-0.608842,-0.529195,0.165525,0.355744,0.848493,-0.315808,-0.545206,0.265926,0.419307,0.657890
-0.422702,-0.282183,0.377599,0.357186,0.666408,-0.582483,-0.501819,0.181013,0.354247,0.841097,-0.293487,-0.522216,0.296903,0.423566,0.629845
-0.393530,-0.255229,0.406630,0.352382,0.630592,-0.552456,-0.472910,0.197449,0.358378,0.801868,-0.268791,-0.496925,0.339218,0.425339,0.649675
-0.366922,-0.231330,0.435465,0.347904,0.578310,-0.525419,-0.446377,0.219153,0.360506,0.828301,-0.246244,-0.474468,0.370566,0.425931,0.607094
-0.341487,-0.207116,0.452176,0.343573,0.608860,-0.499278,-0.418801,0.233926,0.356321,0.789412,-0.224042,-0.451824,0.402317,0.429682,0.566819
