# generated_by: experiments/mc_sweep_oecs.py
# git_commit: 17a2c72
# date: 2026-07-09 23:00 UTC
# trials_per_cell: 1000  steps: 500  controller: oecs_trap_step (core-seek)
# g_perp: 1.0  s_trim: 0.05  s_capture: -0.9  target: (0.0, 0.5)
# start: (0.0, 0.35)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0,0,554330,0,0.35,2.92593,0,10,1,1,1,0,0,0.0107969,0.0152696,8.08792e-13,0.140372,0.0123322,0.44279
0,0,562249,0,0.35,5.56378,0,10,1,1,1,0,0,0.00567408,0.007952,8.08793e-13,0.129947,0.0062169,0.442791
0,0,570168,0,0.35,2.79824,0,10,1,1,1,0,0,0.0120307,0.0170388,8.08817e-13,0.142823,0.0135759,0.44279
0,0,578087,0,0.35,5.42793,0,10,1,1,1,0,0,0.0110764,0.0156322,8.08787e-13,0.140955,0.0126317,0.44279
0,0,586006,0,0.35,5.84788,0,10,1,1,1,0,0,0.0101373,0.0143808,8.08792e-13,0.138992,-0.0116047,0.44279
0,0,593925,0,0.35,1.16208,0,10,1,1,1,0,0,0.00599708,0.00852409,8.08805e-13,0.1304,-0.00660283,0.442791
0,0,601844,0,0.35,5.39335,0,10,1,1,1,0,0,0.011727,0.0165071,8.08791e-13,0.142274,0.0133087,0.44279
0,0,609763,0,0.35,5.42998,0,10,1,1,1,0,0,0.0110281,0.0155702,8.08795e-13,0.140855,0.0125803,0.44279
0,0,617682,0,0.35,4.85059,0,10,1,1,1,0,0,0.00970368,0.0138431,8.08804e-13,0.137966,-0.0110164,0.44279
0,0,625601,0,0.35,2.30137,0,10,1,1,1,0,0,0.0108187,0.0153403,8.08787e-13,0.140317,-0.0122595,0.44279
0,0,633520,0,0.35,3.21382,0,10,1,1,1,0,0,0.00459764,0.00637739,8.08801e-13,0.127422,-0.00493311,0.442791
0,0,641439,0,0.35,2.00272,0,10,1,1,1,0,0,0.00706793,0.0100007,8.08783e-13,0.132953,-0.00792214,0.442791
0,0,649358,0,0.35,0.760287,0,10,1,1,1,0,0,0.00774608,0.0109804,8.08768e-13,0.134287,-0.00875804,0.442791
0,0,657277,0,0.35,2.7979,0,10,1,1,1,0,0,0.0120282,0.017035,8.08751e-13,0.142818,0.0135732,0.44279
0,0,665196,0,0.35,4.79631,0,10,1,1,1,0,0,0.0112565,0.0158926,8.08773e-13,0.141245,-0.0127351,0.44279
0,0,673115,0,0.35,4.98743,0,10,1,1,1,0,0,0.0026285,0.00375377,8.0878e-13,0.122875,-0.00273751,0.442791
0,0,681034,0,0.35,2.72691,0,10,1,1,1,0,0,0.0108637,0.0153981,8.08806e-13,0.140413,0.0123086,0.44279
0,0,688953,0,0.35,2.38709,0,10,1,1,1,0,0,0.00762467,0.0108926,8.08788e-13,0.133824,-0.00856312,0.442791
0,0,696872,0,0.35,1.0303,0,10,1,1,1,0,0,0.0111708,0.0157864,8.08797e-13,0.141064,-0.0126422,0.44279
0,0,704791,0,0.35,0.748125,0,10,1,1,1,0,0,0.00716852,0.0101468,8.08785e-13,0.133155,-0.00804613,0.442791
0,0,712710,0,0.35,4.60784,0,10,1,1,1,0,0,0.0106337,0.0150537,8.08803e-13,0.14003,-0.0121549,0.44279
0,0,720629,0,0.35,3.53947,0,10,1,1,1,0,0,0.0112606,0.0158977,8.08784e-13,0.141254,-0.0127396,0.44279
0,0,728548,0,0.35,1.22026,0,10,1,1,1,0,0,0.00244819,0.00350256,8.08763e-13,0.122535,-0.00254281,0.442791
0,0,736467,0,0.35,6.0887,0,10,1,1,1,0,0,0.01032,0.0146846,8.08775e-13,0.139257,-0.0117103,0.44279
