x,y,theta,hue_rad,saturation,is_anomaly
-0.359954,-0.273497,0.247423,2.177551,0.635113,0
-0.100905,-0.334051,0.570376,2.770508,0.467978,0
-0.187612,-0.063472,0.502603,1.843286,0.391746,0
-0.345794,-0.259322,0.243841,2.180071,0.627852,0
-0.085679,-0.315621,0.567605,2.770508,0.467978,0
-0.175811,-0.049954,0.502582,1.815765,0.397135,0
-0.332014,-0.246119,0.237675,2.168522,0.595169,0
-0.071518,-0.302932,0.572581,2.827836,0.467332,0
-0.166803,-0.039117,0.497718,1.682857,0.381599,0
-0.320442,-0.235461,0.235096,2.157074,0.616436,0
-0.061272,-0.290504,0.570782,2.827836,0.467332,0
-0.154765,-0.027116,0.497567,1.613553,0.359997,0
-0.306505,-0.222328,0.231298,2.157074,0.616436,0
-0.048791,-0.275673,0.571066,2.852296,0.452040,0
-0.145718,-0.015965,0.497046,1.626905,0.357858,0
-0.296587,-0.211973,0.232159,2.129862,0.581269,0
-0.037727,-0.263738,0.570880,2.898239,0.417700,0
-0.139776,-0.005855,0.496664,1.582527,0.338073,0
-0.288860,-0.202811,0.227238,2.130999,0.589775,0
-0.029844,-0.251944,0.568455,2.912910,0.419223,0
-0.132119,0.004844,0.499330,1.481035,0.329509,0
-0.280855,-0.192078,0.225556,2.112407,0.577940,0
-0.021907,-0.239819,0.567411,2.952067,0.424690,0
-0.126762,0.014398,0.493471,1.389244,0.323936,0
-0.276643,-0.181998,0.224236,2.116629,0.564723,0
-0.017021,-0.228705,0.567859,2.983187,0.434378,0
-0.121170,0.023370,0.493376,1.282266,0.325540,0
-0.270705,-0.172016,0.220743,2.089115,0.574677,0
-0.011537,-0.215727,0.570122,2.983187,0.434378,0
-0.114777,0.034528,0.487987,1.130672,0.324974,0
-0.263427,-0.161284,0.218670,2.047432,0.564708,0
-0.004494,-0.203919,0.569646,3.006523,0.413501,0
-0.110358,0.043909,0.484819,1.010192,0.327393,0
-0.258027,-0.153347,0.218587,2.040069,0.559974,0
0.001033,-0.194308,0.570929,3.006523,0.413501,0
-0.105123,0.051216,0.479637,1.010192,0.327393,0
-0.252034,-0.145521,0.215669,2.023192,0.552288,0
0.006512,-0.184881,0.571746,3.027503,0.398860,0
-0.100631,0.058691,0.463094,1.010192,0.327393,0
-0.245635,-0.137165,0.211082,2.005819,0.524447,0
0.013205,-0.175137,0.570900,3.044310,0.395845,0
-0.096203,0.065038,0.455284,0.869706,0.350151,0
-0.239614,-0.129560,0.212341,2.013962,0.536304,0
0.018359,-0.167033,0.572552,3.044310,0.395845,0
-0.091138,0.070889,0.450014,0.727065,0.331528,0
-0.232959,-0.122762,0.212217,1.987133,0.545540,0
0.023947,-0.159952,0.573904,3.177784,0.378804,0
-0.085490,0.076899,0.439182,0.653489,0.324005,0
-0.226679,-0.117862,0.207877,1.973052,0.534577,0
0.029230,-0.154033,0.576605,3.235369,0.352296,0
-0.080813,0.082474,0.435722,0.653489,0.324005,0
-0.221855,-0.112164,0.203635,1.973052,0.534577,0
0.033052,-0.148053,0.574654,3.235369,0.352296,0
-0.075722,0.084735,0.436182,0.517848,0.304032,0
-0.215835,-0.109390,0.201888,1.946914,0.504226,0
0.037066,-0.144489,0.572583,3.279911,0.331500,0
-0.071555,0.087138,0.432690,0.465766,0.300161,0
-0.209435,-0.107764,0.199928,1.942968,0.498453,0
0.041970,-0.141659,0.576654,3.305521,0.333020,0
-0.067136,0.088917,0.430193,0.409664,0.303887,0
-0.202882,-0.106841,0.202471,1.951865,0.498401,0
0.048174,-0.139516,0.584850,3.334411,0.335484,0
-0.062817,0.091208,0.427081,0.361874,0.312179,0
-0.197730,-0.104722,0.198690,1.956339,0.502144,0
0.053676,-0.137388,0.589348,3.334411,0.335484,0
-0.058806,0.093526,0.421324,0.368094,0.307996,0
-0.192277,-0.103169,0.193907,1.965493,0.502912,0
0.057876,-0.135653,0.590033,3.372016,0.331237,0
-0.054521,0.095321,0.420266,0.318821,0.309300,0
-0.187336,-0.101913,0.192870,1.977256,0.493564,0
0.061848,-0.133216,0.593887,3.438379,0.337151,0
-0.049609,0.096581,0.422446,0.272269,0.313580,0
-0.182059,-0.100540,0.188841,1.993655,0.480022,0
0.065871,-0.131418,0.593511,3.479540,0.326338,0
-0.045249,0.097672,0.426709,0.252597,0.312002,0
-0.177791,-0.098980,0.189280,2.006397,0.468078,0
0.070276,-0.129648,0.598427,3.498239,0.327053,0
-0.040303,0.099136,0.428136,0.247224,0.308859,0
-0.172896,-0.097997,0.185768,2.009168,0.469314,0
0.075425,-0.128162,0.604964,3.534782,0.326946,0
-0.036557,0.101300,0.422955,0.181653,0.321212,0
-0.169182,-0.095802,0.180929,2.005832,0.479464,0
0.079272,-0.126743,0.613124,3.526645,0.331138,0
-0.032351,0.103214,0.420966,0.165612,0.325386,0
