Time(s),Radius(m)
516.000000,0.233948
517.000000,0.228274
518.000000,0.221753
519.000000,0.216190
520.000000,0.212002
521.000000,0.209554
522.000000,0.204244
523.000000,0.202034
524.000000,0.196507
525.000000,0.193310
526.000000,0.191541
527.000000,0.187435
528.000000,0.183154
529.000000,0.180041
530.000000,0.176939
531.000000,0.176165
532.000000,0.177280
533.000000,0.176095
534.000000,0.174330
535.000000,0.173445
536.000000,0.171067
537.000000,0.168232
538.000000,0.165889
539.000000,0.161450
540.000000,0.158083
541.000000,0.155552
542.000000,0.155161
543.000000,0.157993
544.000000,0.162450
545.000000,0.167756
546.000000,0.173453
547.000000,0.181830
548.000000,0.190281
549.000000,0.199508
550.000000,0.210423
551.000000,0.219579
552.000000,0.229552
553.000000,0.239269
554.000000,0.249560
555.000000,0.259083
556.000000,0.267098
557.000000,0.276278
558.000000,0.282301
559.000000,0.282762
560.000000,0.288686
561.000000,0.290785
562.000000,0.286937
563.000000,0.290271
564.000000,0.290256
565.000000,0.289625
566.000000,0.288812
567.000000,0.286129
568.000000,0.284036
569.000000,0.282045
570.000000,0.279467
571.000000,0.274472
572.000000,0.267732
573.000000,0.261702
574.000000,0.258573
575.000000,0.258690
576.000000,0.257955
577.000000,0.257647
578.000000,0.255935
579.000000,0.254209
580.000000,0.251503
581.000000,0.249793
582.000000,0.249739
583.000000,0.252473
584.000000,0.257058
585.000000,0.258518
586.000000,0.261166
587.000000,0.264571
588.000000,0.267881
589.000000,0.272100
590.000000,0.275969
591.000000,0.280805
592.000000,0.286973
593.000000,0.292600
594.000000,0.298820
595.000000,0.305053
596.000000,0.312382
597.000000,0.319250
598.000000,0.326036
599.000000,0.331511
600.000000,0.335338
