# generated_by: experiments/mc_sweep_ow.py
# git_commit: 638b502
# date: 2026-07-03 06:04 UTC
# trials_per_cell: 5  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0.005,0.005,5005017,-0.5,0.25,5.10299,32,205,1,1,0,0.0174716,0.0455837,1.52004e-09,2.5903,-1.00146,0.0414634
0.005,0.005,5012936,-0.5,0.25,1.36119,52,130,1,1,0,0.0162261,0.0418185,5.86803e-10,1.68957,-0.532997,-0.522087
0.005,0.005,5020855,-0.5,0.25,6.07149,35,393,1,1,0,0.0138729,0.0418921,0.00184647,4.92629,0.537707,-0.521074
0.005,0.005,5028774,-0.5,0.25,5.89392,43,135,1,1,0,0.0102267,0.0277293,6.45546e-10,1.72128,-0.531686,-0.523719
0.005,0.005,5036693,-0.5,0.25,5.29896,18,198,1,1,0,0.0136686,0.0383802,1.3294e-09,2.54217,1.00425,0.0261187
0.005,0.01,5010017,-0.5,0.25,1.86171,44,213,0,1,0,0.0269724,0.13087,1.79935e-09,2.79104,-1.00167,-0.00746251
0.005,0.01,5017936,-0.5,0.25,1.12792,35,200,1,1,0,0.0166649,0.0427751,1.31229e-09,2.52533,-1.00378,0.00490864
0.005,0.01,5025855,-0.5,0.25,4.25941,30,483,0,1,1,0.0204885,0.0622808,0.652303,6.18639,1.00271,0.0512958
0.005,0.01,5033774,-0.5,0.25,5.70253,50,132,1,1,0,0.0111475,0.0315918,6.26319e-10,1.70612,-0.545353,-0.524826
0.005,0.01,5041693,-0.5,0.25,3.81683,41,137,1,1,0,0.0159744,0.0579172,6.74798e-10,1.75598,0.529603,-0.520801
0.005,0.02,5020017,-0.5,0.25,3.01336,52,432,1,1,0,0.022082,0.062663,0.0104117,5.44172,-0.537012,-0.521615
0.005,0.02,5027936,-0.5,0.25,1.41649,104,125,1,1,0,0.00647954,0.0157724,5.86885e-10,1.66233,-0.538082,-0.520133
0.005,0.02,5035855,-0.5,0.25,0.968534,54,458,0,1,0,0.0397365,0.171021,0.072792,5.907,-0.725425,-0.521128
0.005,0.02,5043774,-0.5,0.25,2.97327,57,197,1,1,0,0.0348656,0.0962205,1.38602e-09,2.57533,-1.00356,-0.00265846
0.005,0.02,5051693,-0.5,0.25,2.4709,133,500,0,0,0,0.081958,0.617805,0.048914,6.36016,-0.936228,-0.399923
0.005,0.05,5050017,-0.5,0.25,2.42361,77,318,0,1,0,0.257055,0.601298,9.46728e-07,4.14901,-1.00311,0.176257
0.005,0.05,5057936,-0.5,0.25,1.46017,78,492,0,1,1,0.0827599,0.220352,1.10419,6.32076,-0.644366,-0.525177
0.005,0.05,5065855,-0.5,0.25,3.19178,35,156,0,1,0,0.0853565,0.241192,8.77324e-10,2.00448,-0.572937,-0.524087
0.005,0.05,5073774,-0.5,0.25,5.77171,296,500,0,0,1,0.105288,0.371705,1.66559,6.60614,-0.763873,-0.277418
0.005,0.05,5081693,-0.5,0.25,5.78166,60,158,1,1,0,0.0277088,0.0699549,8.70838e-10,2.01208,-0.571907,-0.524674
0.01,0,10000017,-0.5,0.25,0.307118,39,498,0,1,0,0.0837194,0.394814,0.0483566,6.52264,1.00348,-0.16632
0.01,0,10007936,-0.5,0.25,1.26541,54,145,1,1,0,0.0368932,0.0983074,7.71116e-10,1.9576,-0.551865,-0.523659
0.01,0,10015855,-0.5,0.25,5.61083,58,321,0,1,0,0.0824181,0.259707,3.18226e-06,4.28843,-0.383109,0.52325
0.01,0,10023774,-0.5,0.25,2.84773,468,483,1,1,0,0.00255526,0.00903096,0.167617,6.65322,-0.519304,-0.522559
0.01,0,10031693,-0.5,0.25,2.32962,48,499,0,1,0,0.0978521,0.590839,0.0500626,6.51283,1.00667,-0.262868
0.01,0.005,10005017,-0.5,0.25,1.83478,139,500,0,0,1,0.0558561,0.152365,0.426266,6.52938,-0.660382,-0.393777
0.01,0.005,10012936,-0.5,0.25,4.74075,16,500,0,0,0,0.0542859,0.158719,0.186409,6.51796,-0.490312,-0.486468
0.01,0.005,10020855,-0.5,0.25,2.5619,191,217,0,1,0,0.0492138,0.118376,1.39881e-09,2.96508,0.613893,-0.52327
0.01,0.005,10028774,-0.5,0.25,5.50499,23,500,0,0,1,0.0660217,0.230893,1.06896,6.64863,0.737198,-0.0117162
0.01,0.005,10036693,-0.5,0.25,1.90533,133,162,1,1,0,0.0112599,0.0321006,9.95151e-10,2.15866,0.567934,-0.522894
0.01,0.01,10010017,-0.5,0.25,3.64805,124,154,1,1,0,0.026481,0.0535941,8.43446e-10,2.03436,-0.57787,-0.522353
0.01,0.01,10017936,-0.5,0.25,3.26378,59,470,0,1,1,0.0465648,0.162343,0.997214,6.17109,-0.470629,-0.524985
