x1,y1,theta1,hue1,sat1,x2,y2,theta2,hue2,sat2,x3,y3,theta3,hue3,sat3
-0.181624,-0.016423,0.677918,0.996032,0.401381,-0.004065,0.168548,0.433470,0.731042,0.323448,0.164650,-0.012590,0.537167,0.468597,0.370619
-0.181872,-0.016298,0.674567,0.996032,0.401381,-0.004000,0.168549,0.435232,0.729989,0.324632,0.164663,-0.012583,0.537274,0.468106,0.371733
-0.181865,-0.016328,0.674309,0.995340,0.401565,-0.003188,0.168432,0.435518,0.730595,0.324740,0.164653,-0.012591,0.537117,0.469440,0.371149
-0.181900,-0.016310,0.674626,0.995340,0.401565,-0.003981,0.168541,0.435542,0.731199,0.324849,0.164653,-0.012547,0.537518,0.469192,0.370833
-0.181957,-0.016229,0.675750,0.995340,0.401565,-0.003665,0.168484,0.431376,0.730595,0.324740,0.164644,-0.012573,0.537385,0.468439,0.371232
-0.181793,-0.016338,0.677034,0.996037,0.401571,-0.003672,0.168578,0.438947,0.731199,0.324849,0.164653,-0.012551,0.537303,0.469192,0.370833
-0.181901,-0.016295,0.674627,0.995301,0.401843,-0.003999,0.168576,0.434840,0.731199,0.324849,0.164654,-0.012569,0.537148,0.468439,0.371232
-0.181789,-0.016283,0.678392,0.996032,0.401381,-0.003659,0.168577,0.438686,0.730595,0.324740,0.164633,-0.012551,0.537366,0.468439,0.371232
-0.181891,-0.016316,0.674815,0.996037,0.401571,-0.003967,0.168563,0.435771,0.730595,0.324740,0.164699,-0.012560,0.537831,0.468439,0.371232
-0.181709,-0.016365,0.677116,0.996032,0.401381,-0.003979,0.168556,0.435630,0.731199,0.324849,0.164641,-0.012561,0.537433,0.469029,0.371443
-0.181877,-0.016318,0.674862,0.996032,0.401381,-0.004068,0.168587,0.433608,0.731199,0.324849,0.164648,-0.012561,0.537194,0.468828,0.371129
-0.181889,-0.016290,0.674537,0.996032,0.401381,-0.003985,0.168579,0.435397,0.731199,0.324849,0.164646,-0.012581,0.537219,0.469029,0.371443
-0.181926,-0.016281,0.675640,0.996032,0.401381,-0.003694,0.168562,0.439241,0.731803,0.324959,0.164666,-0.012573,0.537455,0.469029,0.371443
-0.181789,-0.016221,0.675729,0.996032,0.401381,-0.003957,0.168589,0.435291,0.730595,0.324740,0.164646,-0.012548,0.537359,0.469029,0.371443
-0.181876,-0.016306,0.674751,0.996032,0.401381,-0.003972,0.168554,0.434894,0.731199,0.324849,0.164810,-0.012464,0.539435,0.468828,0.371129
-0.181917,-0.016254,0.675705,0.996032,0.401381,-0.003948,0.168571,0.436244,0.730147,0.324111,0.164635,-0.012564,0.537433,0.468828,0.371129
-0.181723,-0.016395,0.676901,0.996032,0.401381,-0.004064,0.168562,0.433910,0.730595,0.324740,0.164674,-0.012541,0.537761,0.468574,0.370414
-0.181786,-0.016359,0.676368,0.996032,0.401381,-0.004014,0.168536,0.435245,0.730595,0.324740,0.164653,-0.012565,0.537071,0.468283,0.371843
-0.181920,-0.016284,0.674989,0.996032,0.401381,-0.003977,0.168542,0.435720,0.731199,0.324849,0.164659,-0.012567,0.537238,0.468078,0.371528
-0.181764,-0.016340,0.676328,0.996032,0.401381,-0.003996,0.168564,0.435692,0.731199,0.324849,0.164679,-0.012529,0.537687,0.469420,0.370937
-0.181842,-0.016333,0.674664,0.996032,0.401381,-0.003639,0.168622,0.439123,0.730592,0.322823,0.164632,-0.012516,0.537465,0.469420,0.370937
-0.181805,-0.016288,0.677312,0.996032,0.401381,-0.003998,0.168541,0.435629,0.731199,0.324849,0.164607,-0.012509,0.538175,0.469420,0.370937
-0.181766,-0.016316,0.677688,0.996032,0.401381,-0.004045,0.168588,0.434561,0.731199,0.324849,0.164646,-0.012542,0.537499,0.469420,0.370937
-0.181929,-0.016263,0.675408,0.995301,0.401843,-0.003985,0.168536,0.435188,0.731199,0.324849,0.164648,-0.012564,0.537357,0.469420,0.370937
-0.181721,-0.016386,0.676391,0.995301,0.401843,-0.003980,0.168547,0.435494,0.730592,0.322823,0.164645,-0.012570,0.537197,0.469166,0.370623
-0.181880,-0.016311,0.674765,0.996032,0.401381,-0.003984,0.168542,0.435122,0.731199,0.324849,0.164649,-0.012585,0.537243,0.469166,0.370623
-0.181908,-0.016265,0.675432,0.995301,0.401843,-0.003660,0.168566,0.439649,0.730147,0.324111,0.164675,-0.012537,0.537940,0.468675,0.371337
-0.181866,-0.016331,0.674531,0.995301,0.401843,-0.003637,0.168605,0.439063,0.731199,0.324849,0.164653,-0.012542,0.537475,0.469166,0.370623
-0.181877,-0.016306,0.674690,0.996032,0.401381,-0.003678,0.168577,0.439632,0.731199,0.324849,0.164674,-0.012553,0.537629,0.468675,0.371337
