environment,primitive,radius,avg_dist_origin,std_dist_origin,avg_dist_to_est_center,std_dist_to_est_center,est_center_x_mean,est_center_x_std,est_center_y_mean,est_center_y_std
vortex1,4R_orbiter_planar,0.5,0.5386341306506517,0.0086801782045474,0.5386341307464207,0.008680178203119955,1.0709629511392746e-11,6.716875297909036e-11,1.0493402133648324e-11,6.757312982046792e-11
vortex1,4R_orbiter_planar,0.6,0.632894491608571,0.0074339779548854195,0.6328944917054175,0.007433977953400263,2.2101140979816182e-11,6.554495289446483e-11,3.9378033024241425e-13,6.841256027344879e-11
vortex1,4R_orbiter_advanced,0.1,0.1955395384478328,0.02666976561148863,0.19553953847048944,0.026669765625624616,-4.73360801988259e-12,4.0620223125024864e-11,-6.197792025889069e-13,4.0974794564634265e-11
vortex1,4R_orbiter_advanced,0.2,0.2731927798233589,0.019074404132896457,0.27319277991466095,0.019074404159324883,3.2421244930250904e-12,7.104888419818091e-11,2.882459119385091e-12,7.021847487887612e-11
vortex1,4R_orbiter_advanced,0.3,0.357137347432323,0.014411614104439549,0.3571373475381968,0.014411614113415083,1.1674591782050494e-11,7.499373570705896e-11,5.56818178600783e-12,7.604663615372564e-11
vortex1,4R_orbiter_advanced,0.4,0.44602097101427196,0.011452840981701623,0.4460209711231037,0.011452840986785671,1.312105134044602e-12,7.638584032425618e-11,-4.536174918467672e-12,7.819539416865967e-11
vortex1,4R_orbiter_advanced,0.5,0.5382270242718334,0.009493041759371393,0.5382270243811275,0.009493041763052157,1.1264566096067704e-11,7.62970076049166e-11,9.074963346935805e-12,7.729868152551948e-11
vortex1,4R_orbiter_advanced,0.6,0.6325900533991672,0.00805092956619937,0.6325900535081918,0.00805092956914301,2.3320321335078747e-11,7.415990753087977e-11,-3.1415422170518812e-12,7.659511189309047e-11
sinking_vortex1,3R_orbiter_plane,0.1,0.20241496977173032,0.020354764971910144,0.20241496978466203,0.020354764972070727,1.5373557128862745e-11,7.604043378768468e-11,8.811259817575714e-12,5.099509492133712e-11
sinking_vortex1,3R_orbiter_plane,0.2,0.2746281291659895,0.015926527349275108,0.27462812919477886,0.01592652736333693,7.918070855446008e-12,5.299138900342196e-11,9.552353137661231e-12,5.643281855688674e-11
sinking_vortex1,3R_orbiter_plane,0.3,0.3592518193561194,0.015006440006355207,0.3592518194141484,0.015006440004364355,1.5479827151920125e-11,6.54847157060879e-11,3.6888097704852226e-12,7.20740917586228e-11
