# generated_by: experiments/mc_sweep_ow.py
# git_commit: 16a1a35
# date: 2026-07-03 10:36 UTC
# trials_per_cell: 1000  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0,0,197992,-0.5,0.25,5.09024,22,116,1,1,0,0.000754682,0.00520863,5.07659e-10,1.45071,0.527358,-0.527329
0,0,205911,-0.5,0.25,5.39029,22,116,1,1,0,0.000791549,0.00549868,5.07465e-10,1.45082,0.525379,-0.5254
0,0,213830,-0.5,0.25,2.92261,22,116,1,1,0,0.000808339,0.00548366,5.07466e-10,1.45087,0.525822,-0.525882
0,0,221749,-0.5,0.25,0.720817,22,115,1,1,0,0.000769825,0.00496227,5.07399e-10,1.43924,0.523339,-0.523359
0,0,229668,-0.5,0.25,3.81743,22,116,1,1,0,0.000759856,0.00518127,5.07441e-10,1.45072,0.527657,-0.527624
0,0,237587,-0.5,0.25,4.81156,22,115,1,1,0,0.000807255,0.00477527,5.07469e-10,1.43906,0.524006,-0.523945
0,0,245506,-0.5,0.25,2.74468,22,116,1,1,0,0.000749242,0.00544082,5.07637e-10,1.45071,0.525222,-0.525237
0,0,506833,-0.5,0.25,3.66649,22,115,1,1,0,0.000804709,0.004938,5.07475e-10,1.43889,0.522164,-0.522104
0,0,514752,-0.5,0.25,3.45611,22,115,1,1,0,0.00079158,0.00470251,5.07368e-10,1.4392,0.524883,-0.524834
0,0,522671,-0.5,0.25,0.108874,22,116,1,1,0,0.000740927,0.00528223,5.07485e-10,1.45069,0.526586,-0.52657
0,0,530590,-0.5,0.25,1.4851,22,116,1,1,0,0.000748184,0.005438,5.07486e-10,1.45071,0.525239,-0.525253
0,0,538509,-0.5,0.25,3.4509,22,115,1,1,0,0.000790533,0.00470189,5.07617e-10,1.4392,0.524903,-0.524856
0,0,546428,-0.5,0.25,0.915118,22,115,1,1,0,0.000785579,0.00470311,5.07282e-10,1.43922,0.524962,-0.524919
0,0,554347,-0.5,0.25,0.582897,22,115,1,1,0,0.000809232,0.00527444,5.07478e-10,1.4391,0.520537,-0.52059
0,0,562266,-0.5,0.25,4.44904,22,115,1,1,0,0.000784252,0.00506004,5.07447e-10,1.43921,0.522571,-0.522603
0,0,570185,-0.5,0.25,5.75088,22,115,1,1,0,0.000768545,0.00495442,5.07279e-10,1.43924,0.523398,-0.523418
0,0,578104,-0.5,0.25,2.85454,22,116,1,1,0,0.000785758,0.0054992,5.07324e-10,1.4508,0.525213,-0.525253
0,0,586023,-0.5,0.25,2.07091,22,115,1,1,0,0.000757304,0.00478687,5.07452e-10,1.43927,0.524578,-0.524568
0,0,593942,-0.5,0.25,3.80799,22,116,1,1,0,0.000762868,0.00516517,5.07526e-10,1.45073,0.527836,-0.5278
0,0,601861,-0.5,0.25,5.78016,22,115,1,1,0,0.000757772,0.0048923,5.07539e-10,1.43926,0.523859,-0.523869
0,0,609780,-0.5,0.25,5.32248,22,116,1,1,0,0.000771939,0.00548683,5.07395e-10,1.45076,0.525062,-0.525095
0,0,617699,-0.5,0.25,4.33665,22,115,1,1,0,0.000811899,0.00530481,5.07414e-10,1.43908,0.520187,-0.520241
0,0,625618,-0.5,0.25,4.24134,22,116,1,1,0,0.000808217,0.00543333,5.07403e-10,1.45095,0.52677,-0.526831
0,0,760241,-0.5,0.25,3.17983,22,115,1,1,0,0.000788266,0.00509074,5.07417e-10,1.43919,0.522321,-0.522356
0,0,768160,-0.5,0.25,4.35973,22,115,1,1,0,0.000807953,0.00526112,5.07376e-10,1.43911,0.520688,-0.520739
0,0,776079,-0.5,0.25,3.64251,22,115,1,1,0,0.000807247,0.00490101,5.07484e-10,1.43893,0.522612,-0.522551
0,0,783998,-0.5,0.25,5.47822,22,116,1,1,0,0.000806776,0.00545297,5.07401e-10,1.45093,0.526436,-0.526497
0,0,791917,-0.5,0.25,4.00013,22,116,1,1,0,0.000748816,0.00543969,5.07377e-10,1.45071,0.525229,-0.525243
0,0,799836,-0.5,0.25,6.01406,22,115,1,1,0,0.000800112,0.00472159,5.07446e-10,1.43914,0.524595,-0.524539
0,0,807755,-0.5,0.25,5.29569,22,116,1,1,0,0.0007628,0.00547155,5.07426e-10,1.45073,0.525075,-0.525102
0,0,815674,-0.5,0.25,3.6852,22,115,1,1,0,0.000802004,0.00496856,5.0738e-10,1.43886,0.521801,-0.521743
0,0,823593,-0.5,0.25,1.35163,22,116,1,1,0,0.000744836,0.00526017,5.07318e-10,1.4507,0.526812,-0.526792
0,0,831512,-0.5,0.25,0.423127,22,116,1,1,0,0.000921707,0.00547541,5.07362e-10,1.45084,0.524952,-0.525013
0,0,839431,-0.5,0.25,3.17009,22,115,1,1,0,0.000791233,0.00511479,5.07324e-10,1.43918,0.522122,-0.52216
0,0,847350,-0.5,0.25,4.17142,22,116,1,1,0,0.000803298,0.00548758,5.07475e-10,1.45086,0.525732,-0.525793
0,0,855269,-0.5,0.25,5.8241,22,115,1,1,0,0.000752018,0.0048123,5.07352e-10,1.43927,0.524414,-0.52441
0,0,863188,-0.5,0.25,6.17738,22,115,1,1,0,0.00080501,0.0049342,5.07336e-10,1.43889,0.522209,-0.52215
0,0,871107,-0.5,0.25,3.80559,22,116,1,1,0,0.00076364,0.00516104,5.0748e-10,1.45073,0.527882,-0.527846
0,0,879026,-0.5,0.25,2.69301,22,116,1,1,0,0.000732069,0.0053834,5.07426e-10,1.45069,0.52564,-0.525649
0,0,633537,-0.5,0.25,4.40216,22,115,1,1,0,0.000798181,0.00517579,5.07368e-10,1.43916,0.521607,-0.52165
0,0,641456,-0.5,0.25,1.62628,22,116,1,1,0,0.000808005,0.0054978,5.07401e-10,1.45084,0.525977,-0.524501
0,0,649375,-0.5,0.25,3.23147,22,115,1,1,0,0.000770778,0.00496818,5.07264e-10,1.43924,0.523293,-0.523315
0,0,657294,-0.5,0.25,6.16474,22,115,1,1,0,0.000806425,0.00491451,5.07585e-10,1.43891,0.522447,-0.522387
0,0,665213,-0.5,0.25,2.02856,22,115,1,1,0,0.000751629,0.00485683,5.07507e-10,1.43927,0.524111,-0.524116
0,0,673132,-0.5,0.25,3.02326,22,116,1,1,0,0.000808658,0.00538593,5.07497e-10,1.451,0.527491,-0.527551
0,0,681051,-0.5,0.25,0.757636,22,115,1,1,0,0.000756272,0.00488426,5.07419e-10,1.43926,0.523917,-0.523926
0,0,688970,-0.5,0.25,5.97577,22,115,1,1,0,0.000792892,0.00470374,5.07647e-10,1.43919,0.524853,-0.524804
0,0,696889,-0.5,0.25,4.50019,22,115,1,1,0,0.000766366,0.00494135,5.07431e-10,1.43925,0.523497,-0.523515
0,0,704808,-0.5,0.25,0.0195231,22,116,1,1,0,0.000768762,0.00513327,5.07537e-10,1.45074,0.528196,-0.528156
0,0,712727,-0.5,0.25,4.44935,22,115,1,1,0,0.000784151,0.00505928,5.07399e-10,1.43921,0.522577,-0.522609
0,0,720646,-0.5,0.25,3.4716,22,115,1,1,0,0.000794665,0.00470638,5.07487e-10,1.43918,0.524805,-0.524753
0,0,728565,-0.5,0.25,4.48857,22,115,1,1,0,0.000770613,0.00496714,5.07415e-10,1.43924,0.523301,-0.523322
0,0,736484,-0.5,0.25,1.01677,22,115,1,1,0,0.000804623,0.00474671,5.07565e-10,1.4391,0.524307,-0.524248
0,0,744403,-0.5,0.25,1.91944,22,115,1,1,0,0.000789427,0.00510001,5.0736e-10,1.43919,0.522245,-0.522281
0,0,752322,-0.5,0.25,2.12147,22,115,1,1,0,0.000772771,0.00472921,5.07461e-10,1.43926,0.524903,-0.524875
0,0,886945,-0.5,0.25,2.2156,22,115,1,1,0,0.000794783,0.00470661,5.07468e-10,1.43918,0.524801,-0.524749
0,0,894864,-0.5,0.25,2.24438,22,115,1,1,0,0.000800152,0.00472177,5.07389e-10,1.43914,0.524593,-0.524537
0,0,902783,-0.5,0.25,1.16843,22,115,1,1,0,0.00080256,0.00496274,5.07443e-10,1.43887,0.521869,-0.521811
0,0,910702,-0.5,0.25,3.31876,22,115,1,1,0,0.000754511,0.00479986,5.07246e-10,1.43927,0.524495,-0.524489
