timestep,x_c,y_c,radius,p_current,q_current,beta_current,p_error,q_error,beta_error,vp,vq,vbeta,vx_c,vy_c,jacobian_cond
57,-0.38546429229032597,0.0886118787419558,0.39551837591325756,0.3300000000000015,0.3299999999979698,60.000000016177566,-1.4988010832439613e-15,2.0302093339807925e-12,-1.617757333179603e-08,-7.494005416219807e-16,1.0151046669903963e-12,-2.823519196226698e-12,0.045338429919089776,-0.22749591688047086,10.674428169400425
58,-0.38053143508423154,0.06601526753058981,0.3862152102577009,0.3300000000000015,0.3299999999978813,60.000000016192566,-1.4988010832439613e-15,2.1186941090434175e-12,-1.6192572827673815e-08,-7.494005416219807e-16,1.0593470545217087e-12,-2.8261371021187644e-12,-0.011212681996387398,-0.20545984888873803,10.674428169806108
59,-0.3761235285481375,0.04395443703799124,0.3786831145731591,0.33000000000000157,0.3299999999977874,60.000000016207984,-1.5543122344752192e-15,2.2126189769267057e-12,-1.620799215676955e-08,-7.771561172376096e-16,1.1063094884633529e-12,-2.8288282827304556e-12,0.031830216394244874,-0.20810675482120447,10.674428169840011
60,-0.37339680333361436,0.022521737249436263,0.3740753953262558,0.3300000000000016,0.329999999997689,60.000000016223495,-1.609823385706477e-15,2.311040248059726e-12,-1.6223500541396364e-08,-8.049116928532385e-16,1.155520124029863e-12,-2.831535006464492e-12,-0.011960312024747356,-0.1996706147909996,10.674428169484985
61,-0.37267487530202326,0.0014496277270771944,0.3726776946664848,0.3300000000000017,0.32999999999758517,60.000000016239284,-1.6653345369377348e-15,2.414846100862178e-12,-1.623928881483515e-08,-8.326672684688674e-16,1.207423050431089e-12,-2.8342905800116114e-12,-0.039559320619144314,-0.2023073223454837,10.674428169851083
62,-0.3727084535407585,-0.01942581780074709,0.3732143536065723,0.33000000000000174,0.32999999999747565,60.00000001625538,-1.7208456881689926e-15,2.5243696022414497e-12,-1.6255382421523354e-08,-8.604228440844963e-16,1.2621848011207248e-12,-2.837099444263913e-12,-0.01796426202828578,-0.2041656287388938,10.674428169916089
63,-0.3729823881705925,-0.04007640643401103,0.3751292846980926,0.3300000000000019,0.32999999999736096,60.0000000162716,-1.887379141862766e-15,2.6390556406852284e-12,-1.627160325039882e-08,-9.43689570931383e-16,1.3195278203426142e-12,-2.839930512976707e-12,-0.008347662090640246,-0.2012592254593631,10.674428170074787
64,-0.373158848430503,-0.06059125575425455,0.3780460639073717,0.33000000000000196,0.32999999999724094,60.000000016287885,-1.942890293094024e-15,2.7590707496472078e-12,-1.628788769036791e-08,-9.71445146547012e-16,1.3795353748236039e-12,-2.8427726839197478e-12,0.0005097993657764421,-0.20198124256509004,10.674428169803614
65,-0.3732996224481185,-0.08110291167632432,0.38200823342211543,0.33000000000000207,0.32999999999711555,60.00000001630417,-2.0539125955565396e-15,2.8844704402786192e-12,-1.6304172130337006e-08,-1.0269562977782698e-15,1.4422352201393096e-12,-2.845614854862788e-12,-0.0005750611892726964,-0.20504204659643893,10.6744281700001
66,-0.37257969877027014,-0.10141102244858217,0.38613446804165524,0.3300000000000022,0.3299999999969845,60.00000001632044,-2.1649348980190553e-15,3.015532268335619e-12,-1.6320443848087373e-08,-1.0824674490095276e-15,1.5077661341678095e-12,-2.8484548053597794e-12,0.02728218300595585,-0.19833172089343523,10.674428169396476
67,-0.3704367239436544,-0.12140850320198632,0.38982482103613403,0.3300000000000023,0.32999999999684787,60.000000016336635,-2.275957200481571e-15,3.1521452115157444e-12,-1.6336639232525384e-08,-1.1379786002407855e-15,1.5760726057578722e-12,-2.851281433180475e-12,0.05463427507069413,-0.19272677376059522,10.674428169801814
68,-0.36769589895300286,-0.1413880350214988,0.3939426995821822,0.3300000000000024,0.3299999999967058,60.000000016352615,-2.3869795029440866e-15,3.2941982475165332e-12,-1.6352618339245058e-08,-1.1934897514720433e-15,1.6470991237582666e-12,-2.8540703134183332e-12,0.04135808706732306,-0.19937650973745347,10.674428170589279
69,-0.36369000715383804,-0.16099948233339856,0.39773264212933424,0.3300000000000025,0.32999999999655755,60.0000000163685,-2.4980018054066022e-15,3.442468532455223e-12,-1.636850839043365e-08,-1.2490009027033011e-15,1.7212342662276114e-12,-2.8568436505338468e-12,0.06957714352357766,-0.18752583460784625,10.6744281699119
70,-0.35583254596887887,-0.17801876720771945,0.39787872806780017,0.3300000000000027,0.3299999999964032,60.00000001638421,-2.6645352591003757e-15,3.5967895328781196e-12,-1.638422033056008e-08,-1.3322676295501878e-15,1.7983947664390598e-12,-2.859585901404671e-12,0.16844456418468207,-0.10970905853292501,10.674428169479159
71,-0.34911569240638957,-0.19598011068994356,0.40036229901232623,0.33000000000000274,0.32999999999624374,60.00000001639939,-2.7200464103316335e-15,3.756273070365523e-12,-1.6399397937500024e-08,-1.3600232051658168e-15,1.8781365351827617e-12,-2.8622348935414267e-12,0.04055435776723599,-0.20159480233978308,10.674428170069424
72,-0.34206553111734667,-0.21414274292435606,0.403566527261317,0.3300000000000029,0.32999999999607643,60.00000001641475,-2.886579864025407e-15,3.9235836801765345e-12,-1.6414753655502128e-08,-1.4432899320127035e-15,1.9617918400882672e-12,-2.8649149719228718e-12,0.07827879317662619,-0.18632305989500006,10.674428169797872
73,-0.3336517959244684,-0.23174535119406206,0.40623814287149634,0.33000000000000307,0.3299999999959015,60.000000016430064,-3.0531133177191805e-15,4.098499317706228e-12,-1.6430071206848058e-08,-1.5265566588595902e-15,2.049249658853114e-12,-2.8675883889661693e-12,0.1159540763515306,-0.16295885685374562,10.67442816939091
74,-0.32390299099810393,-0.24867562011615554,0.4083536599782991,0.3300000000000032,0.32999999999571944,60.00000001644519,-3.164135620181696e-15,4.2805758937447536e-12,-1.6445197924913096e-08,-1.582067810090848e-15,2.1402879468723768e-12,-2.870228499318728e-12,0.12863967637823656,-0.15361477110982202,10.674428170313371
75,-0.313151535876864,-0.2650647504149751,0.4102721125479916,0.3300000000000033,0.32999999999552965,60.00000001646013,-3.2751579226442118e-15,4.470368519804424e-12,-1.646013380969725e-08,-1.6375789613221059e-15,2.235184259902212e-12,-2.8728353029805476e-12,0.13090972242607157,-0.1512647351116537,10.674428169388804
76,-0.3022582379851447,-0.28156257722096234,0.41308295452753163,0.33000000000000346,0.3299999999953317,60.000000016474935,-3.4416913763379853e-15,4.6683212850950895e-12,-1.6474942472294145e-08,-1.7208456881689926e-15,2.3341606425475447e-12,-2.875419902181875e-12,0.11224264356163999,-0.16751451989361604,10.674428169793659
77,-0.2912670165039893,-0.29816538385908,0.4168201902918904,0.3300000000000036,0.3299999999951248,60.000000016489736,-3.608224830031759e-15,4.875211345733987e-12,-1.6489738412672314e-08,-1.8041124150158794e-15,2.4376056728669937e-12,-2.8780022809371532e-12,0.1121970985649855,-0.16847759579738458,10.674428169792437
78,-0.27982165502170947,-0.3145170894533456,0.4209764342303407,0.3300000000000038,0.3299999999949086,60.00000001650454,-3.774758283725532e-15,5.091427279779737e-12,-1.6504547075269206e-08,-1.887379141862766e-15,2.5457136398898683e-12,-2.8805868801384805e-12,0.1250502148489542,-0.15765803158595063,10.674428169385132
79,-0.2669871579643844,-0.3295329059890677,0.42411564301201965,0.33000000000000396,0.3299999999946827,60.000000016519316,-3.941291737419306e-15,5.317302154139725e-12,-1.6519317571209925e-08,-1.970645868709653e-15,2.6586510770698624e-12,-2.88316481800166e-12,0.16075813399086397,-0.11898742065775346,10.674428169310156
80,-0.25386391023956206,-0.34438976632278356,0.42784482709269944,0.3300000000000042,0.3299999999944473,60.00000001653385,-4.163336342344337e-15,5.552724946511489e-12,-1.6533859067213576e-08,-2.0816681711721685e-15,2.7763624732557446e-12,-2.8857027878359534e-12,0.1379699928230681,-0.1448596252902016,10.67442816989981
