# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: 0d6d40e
# date: 2026-07-03 05:56 UTC
# trials_per_cell: 5  steps: 500  controller: separatrix_logic_c_step
# start_mode: fixed  fixed_start: (0.0, 0.35)  start_box: (-0.8, 0.8, -0.4, 0.4)
# band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0.005,0.01,5033757,0,0.35,4.30007,0,87,1,1,1,0,0,0.0121309,0.0389004,3.10695e-10,1.23276,-0.0333109,-0.450164
0.005,0.01,5041676,0,0.35,1.68008,0,102,0,1,0,0,0,0.0322531,0.147588,3.9725e-10,1.47833,-0.181296,-0.524308
0.005,0.02,5020000,0,0.35,2.27124,0,108,0,1,0,0,0,0.0563214,0.211449,4.35372e-10,1.4776,-0.250191,-0.520695
0.005,0.02,5027919,0,0.35,5.3997,0,95,1,1,1,0,0,0.0180512,0.0541112,3.35364e-10,1.26602,-0.0286649,-0.450384
0.005,0.02,5035838,0,0.35,5.90073,0,133,0,1,0,0,0,0.093593,0.349796,6.74161e-10,1.82955,0.399276,-0.523564
0.005,0.02,5043757,0,0.35,0.465201,0,112,0,1,0,0,0,0.0506084,0.199699,4.83461e-10,1.53068,-0.248766,-0.521456
0.005,0.02,5051676,0,0.35,4.59632,0,128,0,1,0,0,0,0.0610951,0.225513,5.61893e-10,1.74767,-0.270283,-0.521391
0.005,0.05,5050000,0,0.35,2.55996,0,157,0,1,0,0,0,0.119233,0.416273,8.23624e-10,2.0289,0.480755,-0.522215
0.005,0.05,5057919,0,0.35,2.88731,0,110,0,1,0,0,0,0.0428796,0.1183,4.35387e-10,1.35521,-0.145748,-0.520096
0.005,0.05,5065838,0,0.35,5.15114,0,118,0,1,0,0,0,0.0390221,0.109782,4.72344e-10,1.51605,-0.142597,-0.52677
0.005,0.05,5073757,0,0.35,4.66927,0,268,0,1,0,0,0,0.43674,0.962689,4.0206e-08,3.44939,-1.00102,0.0525425
0.005,0.05,5081676,0,0.35,0.718283,0,126,0,1,0,0,0,0.0696422,0.262248,5.72925e-10,1.60211,-0.324702,-0.523294
0.01,0,10000000,0,0.35,2.02733,0,122,0,1,0,0,0,0.0469563,0.202003,5.34709e-10,1.7502,-0.246803,-0.523544
0.01,0,10007919,0,0.35,4.53773,0,102,0,1,0,0,0,0.0329485,0.124913,4.35406e-10,1.42985,-0.145429,-0.523599
0.01,0,10015838,0,0.35,2.96791,0,94,1,1,1,0,0,0.0147905,0.0390695,3.50268e-10,1.33965,-0.0114692,-0.44861
0.01,0,10023757,0,0.35,5.19033,0,99,1,1,1,0,0,0.0162513,0.032119,3.51223e-10,1.42144,0.0333546,-0.455006
0.01,0,10031676,0,0.35,3.0305,0,231,0,1,0,0,0,0.334451,0.975261,1.71267e-09,3.27376,1.00342,-0.299426
0.01,0.005,10005000,0,0.35,2.06573,0,99,1,1,1,0,0,0.0108291,0.0267016,3.32571e-10,1.44364,-0.00301728,-0.446415
0.01,0.005,10012919,0,0.35,4.9963,0,87,1,1,1,0,0,0.00955627,0.0234095,2.92871e-10,1.22714,-0.0233747,-0.450143
0.01,0.005,10020838,0,0.35,4.16684,0,117,0,1,0,0,0,0.0362355,0.124928,4.60744e-10,1.65233,0.148705,-0.527569
0.01,0.005,10028757,0,0.35,4.30047,0,110,1,1,1,0,0,0.0175603,0.0374392,3.51208e-10,1.5868,0.00958355,-0.441798
