# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: ad76bbf
# date: 2026-07-03 05:50 UTC
# trials_per_cell: 1000  steps: 500  controller: separatrix_logic_c_step
# start_box: (-0.8, 0.8, -0.4, 0.4)  band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0,0,855252,-0.107768,-0.294445,1.76437,-1,15,1,0,1,4,0,0.0455757,0.0998731,2.4138e-11,0.253457,0.0110714,-0.44614
0,0,863171,0.770313,0.18825,6.23883,-1,23,0,0,0,-1,0,0.883149,0.993152,5.40498e-11,0.390288,1.00573,0.448224
0,0,871090,0.141403,0.0167576,2.37368,9,41,1,1,1,7,0,0.0077326,0.032372,1.23587e-10,0.553259,-0.00424793,-0.446408
0,0,879009,-0.206805,0.116726,1.89404,15,49,1,1,1,13,0,0.00536102,0.0283767,1.23587e-10,0.676709,-0.000278252,-0.445274
0,0,633520,0.0183923,-0.287197,0.301765,0,16,1,1,1,0,0,0.00603992,0.0127808,2.4138e-11,0.204475,0.00636936,-0.451695
0,0,641439,-0.290012,-0.163645,1.81558,-1,107,0,0,0,21,0,0.717547,0.98242,4.35426e-10,1.46131,-1.00428,-0.4782
0,0,649358,-0.606395,-0.0918474,0.297646,-1,36,0,0,0,-1,0,0.804691,0.988315,8.71268e-11,0.581305,-1.00181,0.279282
0,0,657277,-0.0875219,0.273945,6.09119,4,63,1,1,1,3,0,0.00491198,0.0186698,2.08069e-10,0.797693,-0.00552828,-0.451874
0,0,665196,0.421371,0.083365,5.83301,37,122,1,1,1,35,0,0.00321388,0.00680509,5.86725e-10,1.70266,-0.00461574,-0.450541
0,0,673115,0.470039,-0.332596,4.93073,-1,47,0,0,0,-1,0,0.731712,0.978589,1.23587e-10,0.652245,1.00384,-0.514544
0,0,681034,-0.105599,0.0166719,3.15154,6,41,1,1,1,4,0,0.00576058,0.0318566,1.23587e-10,0.537301,-0.000257495,-0.447861
0,0,688953,-0.192132,0.0479294,5.3448,14,44,1,1,1,12,0,0.00813877,0.0257695,1.23587e-10,0.61215,0.00624966,-0.452012
0,0,696872,-0.537637,-0.386396,1.51975,-1,41,0,0,0,-1,0,0.763675,0.978168,1.23587e-10,0.553369,-1.00224,-0.492749
0,0,704791,-0.609492,-0.315119,3.85231,-1,35,0,0,0,-1,0,0.798213,0.979663,8.71268e-11,0.54027,-1.00028,-0.509617
0,0,712710,0.373376,0.374216,4.36226,-1,35,0,0,0,27,0,0.185509,0.358267,8.71267e-11,0.508719,-0.00587932,0.520277
0,0,720629,0.101318,-0.131293,1.4783,6,29,1,1,1,5,0,0.00894933,0.03237,5.40499e-11,0.400822,0.00565316,-0.451979
0,0,728548,-0.489263,0.037127,4.88706,36,60,1,1,1,34,0,0.00734906,0.0270782,1.63773e-10,0.911199,-0.0041123,-0.448055
0,0,736467,0.750476,-0.324492,0.86173,-1,23,0,0,0,-1,0,0.875244,0.993878,5.405e-11,0.390302,1.0001,-0.48001
0,0,744386,-0.716321,-0.0843101,1.34813,-1,28,0,0,0,-1,0,0.861202,0.995903,5.405e-11,0.455171,-1.00388,0.22295
0,0,752305,-0.406808,-0.197272,1.18484,-1,53,0,0,0,-1,0,0.713058,0.975521,1.63774e-10,0.780296,-1.0034,-0.514634
0,0,1013632,-0.682705,-0.315397,0.312748,-1,29,0,0,0,-1,0,0.839712,0.990948,5.40499e-11,0.485317,-1.01012,-0.5035
0,0,1021551,-0.108732,-0.311039,0.636146,-1,13,1,0,1,5,0,0.0522615,0.101725,2.4138e-11,0.22048,0.0084587,-0.44311
0,0,1029470,0.598954,-0.0184978,0.637529,-1,36,0,0,0,-1,0,0.800507,0.990933,8.71268e-11,0.59583,1.00749,0.359478
0,0,1037389,-0.720262,-0.0397322,1.38602,-1,27,0,0,0,-1,0,0.860123,0.991748,5.40499e-11,0.428605,-1.00111,0.22914
0,0,1045308,-0.203261,-0.219169,6.19608,-1,21,1,0,1,13,0,0.0970725,0.193381,5.405e-11,0.352165,0.00642283,-0.441357
0,0,1053227,-0.771045,-0.209219,2.20835,-1,24,0,0,0,-1,0,0.889955,0.997108,5.40497e-11,0.384775,-1.00253,0.0547682
0,0,1061146,-0.576306,-0.0387597,6.19668,-1,39,0,0,0,-1,0,0.780928,0.980911,8.71263e-11,0.659111,-1.00388,0.409206
