Frame,Time,Quat_X,Quat_Y,Quat_Z,Quat_W,Marker1_X,Marker1_Y,Marker1_Z,Marker2_X,Marker2_Y,Marker2_Z,Marker3_X,Marker3_Y,Marker3_Z,Roll_deg,Pitch_deg,Yaw_deg
41,0.41,-0.016601,0.823559,-0.014037,-0.566813,-0.124933,0.147676,-0.434456,0.910272,-0.084466,0.148248,-0.566209,-0.114407,0.149069,-179.30980905231942,-69.07904671505496,-178.16547268426442
42,0.42,-0.009062,0.823135,-0.010404,-0.567678,-0.124803,0.148167,-0.434435,0.896755,-0.084666,0.147953,-0.566221,-0.114459,0.148815,-178.8971419728156,-69.18615216118043,-179.49912390934975
43,0.43,-0.010391,0.823472,-0.010039,-0.567174,-0.124998,0.147816,-0.434433,0.929518,-0.084747,0.147786,-0.566157,-0.114379,0.148931,-179.23702013467715,-69.1173483577086,-179.07964058575723
44,0.44,-0.009853,0.82319,-0.012049,-0.567552,-0.124804,0.148416,-0.434511,0.89742,-0.084589,0.148057,-0.566227,-0.114456,0.149008,-178.60557919150727,-69.17065815501701,-179.58992957427438
45,0.45,-0.01693,0.823666,-0.014649,-0.566633,-0.124985,0.147662,-0.434487,0.907323,-0.084452,0.148276,-0.566217,-0.114449,0.148892,-179.20726671657766,-69.05575067886494,-178.19036775312503
46,0.46,-0.016604,0.823373,-0.014437,-0.567074,-0.124971,0.147562,-0.434411,0.891258,-0.084612,0.148118,-0.566023,-0.114466,0.148814,-179.20553698589322,-69.11635475538291,-178.23669241328616
47,0.47,-0.017083,0.823664,-0.014553,-0.566634,-0.124974,0.147557,-0.434504,0.900716,-0.084429,0.148148,-0.566246,-0.114439,0.148939,-179.26042531816418,-69.05584419864732,-178.13251337866933
48,0.48,-0.015992,0.823612,-0.013593,-0.566766,-0.12496,0.147525,-0.434466,0.898495,-0.084474,0.148122,-0.56628,-0.114395,0.148777,-179.31616406311755,-69.07124424820049,-178.24588680033855
49,0.49,-0.011397,0.823318,-0.011379,-0.567352,-0.124935,0.147921,-0.434407,0.908098,-0.08472,0.147863,-0.566121,-0.114444,0.149009,-179.0657394663243,-69.1445547231179,-179.05768118149885
50,0.5,-0.007565,0.82335,-0.009132,-0.56741,-0.124858,0.148264,-0.434483,0.908639,-0.08469,0.147869,-0.5662,-0.11436,0.14904,-178.96136824740108,-69.14626288356891,-179.66294968421707
51,0.51,-0.015705,0.823636,-0.01346,-0.566742,-0.124987,0.147609,-0.434482,0.912771,-0.0845,0.148135,-0.566278,-0.114407,0.148898,-179.29901913309655,-69.06734533686317,-178.29762911086965
52,0.52,-0.017593,0.823589,-0.014763,-0.566723,-0.124958,0.147579,-0.434483,0.895551,-0.084423,0.148265,-0.566251,-0.114473,0.148955,-179.2980545742131,-69.06928626186415,-178.0356070383114
53,0.53,-0.016125,0.822945,-0.01624,-0.56766,-0.124894,0.147702,-0.434513,0.87335,-0.084681,0.147683,-0.566518,-0.114487,0.148955,-178.64092625237404,-69.20064233630052,-178.69254708641392
54,0.54,-0.016618,0.823669,-0.014059,-0.566653,-0.12501,0.147596,-0.434459,0.907449,-0.084476,0.148185,-0.566208,-0.114468,0.148964,-179.3064436660627,-69.05696830092056,-178.16554168677013
55,0.55,-0.007929,0.823319,-0.009718,-0.567441,-0.124877,0.148262,-0.434448,0.900852,-0.084693,0.147841,-0.566164,-0.114418,0.149009,-178.87244648389174,-69.15138287971864,-179.67361154580323
56,0.56,-0.009787,0.823417,-0.010056,-0.567264,-0.125012,0.147904,-0.434375,0.914221,-0.084804,0.147708,-0.565989,-0.114416,0.149004,-179.12236072975048,-69.12925126288813,-179.24269911856769
57,0.57,-0.00995,0.823021,-0.011814,-0.5678,-0.124745,0.148387,-0.434495,0.899418,-0.084604,0.148078,-0.566224,-0.11445,0.149032,-178.68503638667838,-69.2051750122913,-179.5219404117569
58,0.58,-0.016911,0.823667,-0.014439,-0.566638,-0.124964,0.147685,-0.434504,0.914471,-0.084468,0.148274,-0.566235,-0.114342,0.149037,-179.25928714561115,-69.05602487468649,-178.15722757104754
59,0.59,-0.016632,0.823609,-0.013885,-0.566744,-0.124971,0.147605,-0.4345,0.899921,-0.084457,0.148253,-0.566266,-0.11446,0.148947,-179.3553277343166,-69.06923497396843,-178.12989396344722
60,0.6,-0.017264,0.823632,-0.01412,-0.566686,-0.124961,0.147473,-0.434494,0.902692,-0.084465,0.148188,-0.566264,-0.114388,0.148907,-179.40790579302754,-69.06221022642688,-178.00582999518878
61,0.61,-0.015489,0.823702,-0.012971,-0.566663,-0.125009,0.147626,-0.434474,0.906797,-0.08449,0.148145,-0.566261,-0.114424,0.149024,-179.38861286066717,-69.05511278044546,-178.26608966984642
62,0.62,-0.013198,0.823663,-0.011356,-0.566812,-0.12503,0.147685,-0.43439,0.92493,-0.084661,0.14798,-0.566155,-0.114327,0.149036,-179.39922300760315,-69.07101673750739,-178.57744620067302
63,0.63,-0.010871,0.823404,-0.010711,-0.567251,-0.12496,0.147935,-0.434437,0.91699,-0.084683,0.147898,-0.566197,-0.114447,0.149012,-179.14667092256917,-69.12923277602924,-179.0750941362342
64,0.64,-0.01523,0.823663,-0.012763,-0.566731,-0.124993,0.147621,-0.434518,0.91029,-0.084504,0.148149,-0.56632,-0.114423,0.148967,-179.39673464629632,-69.06389215932144,-178.29648634469513
65,0.65,-0.01624,0.823722,-0.013547,-0.566599,-0.125001,0.147678,-0.434508,0.917217,-0.084462,0.148285,-0.566249,-0.114414,0.149046,-179.37272124360774,-69.04796876070208,-178.17257923329637
66,0.66,-0.017505,0.823636,-0.014557,-0.566662,-0.124957,0.147594,-0.434475,0.909878,-0.084466,0.14829,-0.566249,-0.114396,0.148998,-179.33619010760376,-69.06014269220944,-178.02165748404985
67,0.67,-0.015556,0.823782,-0.012557,-0.566554,-0.125087,0.147566,-0.434501,0.913713,-0.084506,0.148216,-0.566332,-0.11449,0.148949,-179.50959679632916,-69.03908077248781,-178.1736433808202
68,0.68,-0.013816,0.823899,-0.010848,-0.566465,-0.125104,0.147533,-0.434426,0.928941,-0.08458,0.148085,-0.566236,-0.114387,0.148958,-179.64426718976503,-69.0222696558311,-178.3231829666624
