# generated_by: experiments/basin_map.py
# git_commit: 148df0a
# date: 2026-07-17T07:58:13.104293+00:00
# mode: grid_heading0_relaxed  max_steps: 800  x_exit: 1.1  y_exit: 0.6
# grid: 200x100 over [-1.0,1.0]x[-0.5,0.5]  subsample: 20x10x10
# controller: separatrix_logic_c_step (Logic C), zero noise
# collapse_rms: 0.3  saddle_contact_d: 0.06
# core_park: final_D > 0.0 and final_gradD < 0.5
sigma_uv,sigma_p,seed,start_x,start_y,heading,steps,success_traverse,collapsed,final_x,final_y,final_D,final_gradD,dist_core,min_d_top,min_d_bot,outcome
0.0,0.0,1000089,-0.995,0.395,0.0,36,0,0,-1.1078214953664773,0.49700261731316386,-0.8664482533156866,1.91905155301493,0.7851487577814003,0.9732945794071418,1.3383011619213367,EXIT
0.0,0.0,1000090,-0.995,0.405,0.0,191,1,0,-8.615672534203108e-09,-0.44218403582430127,-0.9423065420780458,1.0873835619495258,0.6674778744813903,0.011133183069780167,0.0698159640048882,TRAVERSE
0.0,0.0,1000091,-0.995,0.41500000000000004,0.0,33,0,0,-1.1078982430544613,0.49842001886927184,-0.8663633650705719,1.919576027111891,0.7861060927879557,0.9791626093829251,1.3517581144568729,EXIT
0.0,0.0,1000092,-0.995,0.42500000000000004,0.0,215,1,0,-9.77289877727531e-09,-0.44081978883362405,-0.9408063752036848,1.1118629074571087,0.6665748843561556,0.01123069077287697,0.07118021091933162,TRAVERSE
0.0,0.0,1000093,-0.995,0.43500000000000005,0.0,24,0,0,-1.1006677691250726,0.5298486384357549,-0.8713285625455222,1.89695123140803,0.8009627635027203,0.9889688381021163,1.3653754062528005,EXIT
0.0,0.0,1000094,-0.995,0.44499999999999995,0.0,171,1,0,-1.73426403215123e-08,-0.44996575163608155,-0.9502208112546019,0.9462791000892488,0.6726582789966863,0.011032065946232645,0.062034248196097624,TRAVERSE
0.0,0.0,1000095,-0.995,0.45499999999999996,0.0,57,0,0,-1.1112122344512887,0.4946861541814882,-0.8596734871770826,1.9711944888009936,0.7863172303096303,0.988878091089321,1.379148287893655,EXIT
0.0,0.0,1000128,-0.985,-0.21500000000000002,0.0,83,0,0,-1.1028808301376665,0.49130939160035086,-0.875101455573702,1.8508058466131985,0.7777211670143669,0.994308105129664,1.0254023600518969,EXIT
0.0,0.0,1000129,-0.985,-0.20500000000000002,0.0,97,0,0,-1.106443774114524,0.5180481033861883,-0.8660348818052822,1.9288126708625508,0.7975887966767681,0.984292160785788,1.0282266287156738,EXIT
0.0,0.0,1000130,-0.985,-0.195,0.0,128,0,0,-1.1021942621099674,0.49017919923240877,-0.8761623310091134,1.8423898250938637,0.7764750972686075,0.9526894273398537,1.0311401456640121,EXIT
