Time(s),radius001,radius01,radius02,radius03,radius04
233.000000,0.297424,0.279106,0.289365,0.532504,0.500148
234.000000,0.291890,0.278570,0.300158,0.541874,0.491979
235.000000,0.285793,0.277583,0.311181,0.549830,0.484417
236.000000,0.280513,0.277452,0.322296,0.556958,0.475860
237.000000,0.277020,0.278046,0.333786,0.566505,0.468310
238.000000,0.272464,0.279839,0.346097,0.578229,0.461819
239.000000,0.268086,0.282782,0.358185,0.591239,0.457447
240.000000,0.263472,0.285054,0.370361,0.604522,0.454259
241.000000,0.259176,0.286994,0.383435,0.618088,0.452425
242.000000,0.255147,0.286561,0.396155,0.631301,0.453717
243.000000,0.250386,0.287477,0.409022,0.640444,0.450204
244.000000,0.246783,0.287174,0.421799,0.649546,0.445455
245.000000,0.243057,0.287411,0.434821,0.663339,0.445587
246.000000,0.239462,0.288421,0.447905,0.678291,0.443920
247.000000,0.236963,0.292046,0.461149,0.691890,0.439507
248.000000,0.234992,0.294695,0.474310,0.706132,0.436486
249.000000,0.233833,0.290854,0.485624,0.720019,0.432503
250.000000,0.233989,0.287203,0.493117,0.730467,0.426559
251.000000,0.234146,0.281533,0.505916,0.733334,0.421687
252.000000,0.234670,0.272617,0.519707,0.739660,0.417504
253.000000,0.236044,0.262645,0.533764,0.724920,0.414034
254.000000,0.237643,0.251668,0.547033,0.711922,0.410452
255.000000,0.238500,0.239927,0.561091,0.700711,0.407097
256.000000,0.241227,0.230545,0.574448,0.690645,0.402988
257.000000,0.246625,0.223425,0.587955,0.688397,0.399222
258.000000,0.245681,0.216217,0.601291,0.700501,0.395382
259.000000,0.243461,0.210235,0.614722,0.692527,0.390531
260.000000,0.242433,0.203681,0.628158,0.682606,0.386413
261.000000,0.241432,0.199544,0.641725,0.674917,0.382474
262.000000,0.237906,0.197876,0.655346,0.690907,0.378887
263.000000,0.230913,0.197376,0.669120,0.700004,0.375909
264.000000,0.221760,0.198310,0.682848,0.697357,0.373204
265.000000,0.214536,0.199618,0.696216,0.710457,0.370792
266.000000,0.206264,0.203397,0.704065,0.730385,0.368842
267.000000,0.196731,0.207823,0.696190,0.735299,0.366728
268.000000,0.187920,0.211834,0.711268,0.727373,0.365177
269.000000,0.182680,0.215473,0.719173,0.715726,0.364777
270.000000,0.180270,0.218946,0.708332,0.705406,0.364390
271.000000,0.179017,0.222187,0.696247,0.695441,0.364833
272.000000,0.177601,0.224664,0.686588,0.685321,0.365418
273.000000,0.179148,0.227145,0.681957,0.682158,0.366891
274.000000,0.181245,0.228932,0.695858,0.692398,0.368273
275.000000,0.184070,0.229712,0.709157,0.681116,0.370669
276.000000,0.187793,0.232467,0.719133,0.670669,0.372425
277.000000,0.191049,0.235313,0.706638,0.660908,0.374689
278.000000,0.194077,0.236953,0.695067,0.652715,0.376898
279.000000,0.197913,0.236621,0.685459,0.643582,0.380055
280.000000,0.202388,0.231446,0.676886,0.635249,0.383081
281.000000,0.206883,0.225212,0.668008,0.628450,0.385296
282.000000,0.211208,0.217015,0.663650,0.621547,0.389091
283.000000,0.215807,0.210815,0.674404,0.615715,0.392334
284.000000,0.220648,0.205011,0.667258,0.610915,0.396054
285.000000,0.224967,0.198832,0.655135,0.604738,0.399595
286.000000,0.227117,0.193372,0.637525,0.597858,0.404328
287.000000,0.229795,0.188885,0.640367,0.592434,0.409277
288.000000,0.229371,0.185413,0.633145,0.587395,0.413891
