Trial,Start_X,Start_Y,Final_Dist_mm,Steps,Path_Length_m,Efficiency,Success
64,-1.3690942118573772,-1.4579372548428233,1998.651557554032,89,1.5885008703710177,1.2590487278315878,False
65,-1.274847979497379,-1.5410264855515787,1998.6515737866507,90,1.7031135361794452,1.174319831011709,False
66,-1.1755705045849465,-1.6180339887498947,1998.6515879089238,91,1.816241871842572,1.101174921141426,False
67,-1.0716535899579926,-1.6886558510040306,1998.6515989775526,92,1.9281283832148124,1.0372753274164008,False
68,-0.9635073482034305,-1.7526133600877272,1998.651606482028,93,2.0397413536442066,0.9805164740258834,False
69,-0.8515585831301443,-1.8096541049320396,1998.6516117712242,94,2.1545904322740794,0.9282506642754763,False
70,-0.7362491053693556,-1.859552971776503,1998.6516297382664,95,2.2864711572660235,0.8747103560192894,False
71,-0.6180339887498951,-1.902113032590307,6.322282755229788,43,2.0882458844422906,0.9577416217602849,True
72,-0.49737977432970887,-1.9371663222572624,6.3615850755425924,42,2.0153511678487535,0.9923828819048247,True
73,-0.37476262917144926,-1.9645745014573774,7.704326139207012,41,1.9958724363900142,1.0020680498085597,True
74,-0.25066646712860746,-1.9842294026289558,7.622376254188513,41,1.9926915267694993,1.0036676390361077,True
75,-0.12558103905862641,-1.9960534568565431,7.61982740469025,41,1.9923852097449286,1.0038219467891183,True
76,-3.6739403974420594e-16,-2.0,7.620514518319327,41,1.9923794854816808,1.003824830848666,True
77,0.12558103905862744,-1.9960534568565431,7.619827404662618,41,1.9923852097449954,1.0038219467890845,True
78,0.25066646712860846,-1.9842294026289558,7.622376249892885,41,1.9926915267725194,1.0036676390345864,True
79,0.37476262917145026,-1.9645745014573772,7.70432614090804,41,1.9958724363874714,1.0020680498098362,True
80,0.49737977432970987,-1.9371663222572622,6.361585090314169,42,2.015351167819907,0.9923828819190289,True
81,0.6180339887498945,-1.9021130325903073,6.322282756186083,43,2.088245884540822,0.957741621715095,True
82,0.7362491053693565,-1.8595529717765025,1998.6516297382668,95,2.286471157169188,0.8747103560563345,False
83,0.8515585831301452,-1.8096541049320392,1998.651611771224,94,2.154590432303239,0.9282506642629136,False
84,0.9635073482034314,-1.7526133600877267,1998.6516064820273,93,2.0397413536305447,0.9805164740324508,False
85,1.0716535899579935,-1.68865585100403,1998.6515989775537,92,1.9281283832166585,1.0372753274154076,False
86,1.1755705045849474,-1.618033988749894,1998.6515879089177,91,1.8162418718432531,1.101174921141013,False
87,1.27484797949738,-1.541026485551578,1998.651573786634,90,1.703113536178823,1.1743198310121379,False
88,1.3690942118573772,-1.457937254842823,1998.6515575540357,89,1.5885008703708832,1.2590487278316946,False
89,1.4579372548428238,-1.3690942118573766,1998.6516036730468,87,1.4723910593660139,1.358334789713519,False
90,1.5410264855515785,-1.2748479794973793,1998.6515839509914,86,1.3548528249637932,1.4761750967699738,False
91,1.6180339887498956,-1.1755705045849452,1998.6515649847754,85,1.235984656359289,1.6181430648914295,False
92,1.6886558510040306,-1.0716535899579926,1998.6515505651232,84,1.1158946342430538,1.7922839116048466,False
93,1.7526133600877272,-0.9635073482034306,1998.6514979875958,84,0.9946992276033185,2.0106580406409953,False
94,1.8096541049320394,-0.8515585831301444,1998.651497252628,83,0.8725196560401725,2.2922119704176795,False
95,1.859552971776503,-0.7362491053693557,1998.6514569031742,83,0.7494796042822817,2.6685182472913915,False
96,1.9021130325903075,-0.6180339887498936,1998.6514440713217,82,0.625699978936155,3.196420117194978,False
97,1.9371663222572624,-0.497379774329709,1998.6514245140131,81,0.5013030721464284,3.989602520161314,False
98,1.9645745014573774,-0.37476262917144937,1998.6514139077544,79,0.3764115926818513,5.313332636092401,False
99,1.9842294026289558,-0.2506664671286076,1998.6521989170476,46,0.25109582274878267,7.965086707161066,False
100,1.9960534568565431,-0.12558103905862653,1998.6514959320416,46,0.1256153209952131,15.92162472025379,False
