timestep,x_c,y_c,radius,p_current,q_current,beta_current,p_error,q_error,beta_error,vp,vq,vbeta,vx_c,vy_c,jacobian_cond
323,-0.18590029465950128,0.44230781760456295,0.4797865411499167,0.3300000003948728,0.3299997144667697,60.000000021038375,-3.948728011238245e-10,2.855332303375313e-07,-2.1038376884820546e-08,-1.9743640056191225e-10,1.4276661516876565e-07,-3.671889459155864e-12,-0.17722918153814748,-0.09645763158929667,10.674429844811105
324,-0.20403904135283427,0.43401896547166885,0.4795877321046497,0.33000000041279987,0.32999970150367414,60.000000021062135,-4.1279984985820306e-10,2.984963258789719e-07,-2.106214198940044e-08,-2.0639992492910153e-10,1.4924816293948595e-07,-3.676037252375864e-12,-0.1710958465784101,-0.10719468582499707,10.674429921085057
325,-0.22166642638083936,0.4246920390380115,0.47906088611648934,0.33000000043154076,0.3299996879520598,60.00000002108589,-4.315407475807831e-10,3.1204794020966986e-07,-2.1085894371761613e-08,-2.1577037379039155e-10,1.5602397010483493e-07,-3.6801828251498136e-12,-0.1643420780889574,-0.1174909980209327,10.674430000982195
326,-0.2387287243302246,0.4143562329025863,0.47820758208706676,0.33000000045113254,0.3299996737852082,60.00000002110955,-4.5113252022943584e-10,3.2621479179040236e-07,-2.11095576985917e-08,-2.2556626011471792e-10,1.6310739589520118e-07,-3.68431285480142e-12,-0.15743761432595121,-0.1268985877287122,10.674430083618594
327,-0.2552030344716438,0.40307044868957354,0.47706852276203376,0.3300000004716137,0.32999965897518796,60.000000021133175,-4.716136925431158e-10,3.410248120561121e-07,-2.113318285876561e-08,-2.358068462715579e-10,1.7051240602805606e-07,-3.6884362231148774e-12,-0.15102338589488123,-0.1350239972736969,10.674430171003642
328,-0.27110484484127517,0.3909185062007557,0.4757258826116592,0.3300000004930248,0.32999964349279926,60.00000002115674,-4.930247876622218e-10,3.565072007605252e-07,-2.1156744407845894e-08,-2.465123938311109e-10,1.782536003802626e-07,-3.692548489198089e-12,-0.14565977568783625,-0.14172978465682332,10.674430262189853
329,-0.28648055943987344,0.37799287269645904,0.4742886491856034,0.3300000005154079,0.329999627307517,60.00000002118023,-5.154078830393871e-10,3.726924830416145e-07,-2.1180229623613818e-08,-2.5770394151969356e-10,1.8634624152080725e-07,-3.696647432605005e-12,-0.14148157799511737,-0.1473091254039931,10.674430357032612
330,-0.3013848253260074,0.3643723445159992,0.47286363614140814,0.3300000005388072,0.32999961038743003,60.00000002120366,-5.388071655509918e-10,3.8961256998426563e-07,-2.1203663950506844e-08,-2.694035827754959e-10,1.9480628499213282e-07,-3.700737494227724e-12,-0.13804218890374476,-0.15241949091491913,10.674430456595859
331,-0.3158543025712676,0.35010715043671986,0.4715283207185989,0.33000000056326884,0.32999959269917856,60.00000002122705,-5.632688204748604e-10,4.0730082145890023e-07,-2.122706011074369e-08,-2.816344102374302e-10,2.0365041072945012e-07,-3.704820894512295e-12,-0.13454970416545844,-0.15769414509842725,10.674430560314228
332,-0.3298912917887867,0.3352202048436428,0.470319944435156,0.33000000058884094,0.3299995742078881,60.0000000212504,-5.88840920467959e-10,4.2579211190219013e-07,-2.125040538210563e-08,-2.944204602339795e-10,2.1289605595109506e-07,-3.70889541301267e-12,-0.13027850486114465,-0.16337699125255034,10.674430668824542
333,-0.34346033502531054,0.31971820958627994,0.46923846312589823,0.3300000006155741,0.3299995548771013,60.00000002127372,-6.155740917002106e-10,4.4512289870679567e-07,-2.127372520903012e-08,-3.077870458501053e-10,2.2256144935339783e-07,-3.712965490620945e-12,-0.12477169280859927,-0.16937111140679556,10.674430782191054
334,-0.3564886458746275,0.3036015956745551,0.46825002245986236,0.3300000006435209,0.3299995346687051,60.00000002129699,-6.435209032318312e-10,4.653312949409738e-07,-2.1296994147079708e-08,-3.217604516159156e-10,2.326656474704869e-07,-3.717026686445024e-12,-0.11766601945826415,-0.17550724105218574,10.674430900753373
335,-0.3688597804338764,0.2868696499602445,0.46728121478403206,0.3300000006727365,0.32999951354285656,60.00000002132017,-6.727364776359934e-10,4.86457143455965e-07,-2.1320174029598214e-08,-3.363682388179967e-10,2.432285717279825e-07,-3.7210723391467584e-12,-0.10837723215749494,-0.18167719920325903,10.674431024229115
336,-0.38040640346355276,0.2695193872247887,0.4662078204900695,0.33000000070327845,0.3299994914579038,60.00000002134331,-7.032784354876753e-10,5.085420962114284e-07,-2.1343315745460544e-08,-3.5163921774383766e-10,2.542710481057142e-07,-3.7251113305103445e-12,-0.0962276279400073,-0.1879300245144247,10.674431154324918
337,-0.3909156211928105,0.25154374848072614,0.4648540419231565,0.33000000073520697,0.32999946837030397,60.00000002136634,-7.352069508748116e-10,5.316296960433675e-07,-2.1366342961354338e-08,-3.676034754374058e-10,2.6581484802168376e-07,-3.729130337859488e-12,-0.08088605361608993,-0.19434849430792211,10.674431289568773
338,-0.40014686900855145,0.23294178342953006,0.46301122151053414,0.33000000076858504,0.3299994442345375,60.00000002138924,-7.685850289540497e-10,5.557654625398811e-07,-2.1389242955060877e-08,-3.8429251447702484e-10,2.7788273126994056e-07,-3.7331271407481386e-12,-0.06249318017530812,-0.2006339310115426,10.674431432457304
