timestep,x_c,y_c,radius,p_current,q_current,beta_current,p_error,q_error,beta_error,vp,vq,vbeta,vx_c,vy_c,jacobian_cond
326,-0.32418441171007945,0.3126091848006652,0.4503554542997639,0.32999999991149465,0.32999967684367554,60.00000002112397,8.850536969973177e-11,3.231563244776581e-07,-2.1123971972408092e-08,4.4252684849865886e-11,1.6157816223882904e-07,-3.68682862017522e-12,-0.1277543794154886,-0.15592541963061912,10.674430080482018
327,-0.33774735258411487,0.29790394597883235,0.4503554542884292,0.3299999999074765,0.32999966217250964,60.00000002114717,9.252348887045514e-11,3.378274903709233e-07,-2.114717729936405e-08,4.626174443522757e-11,1.6891374518546165e-07,-3.690878713769053e-12,-0.12070379021967687,-0.1614450772649719,10.674430166582551
328,-0.35064386217148896,0.28261089349027196,0.4503554542779603,0.329999999903276,0.3299996468352793,60.0000000211703,9.672401768412442e-11,3.531647206900246e-07,-2.1170306293007654e-08,4.836200884206221e-11,1.765823603450123e-07,-3.69491548468659e-12,-0.11341503251823132,-0.16664617710908072,10.674430257062498
329,-0.3628484935296539,0.2667602030522477,0.4503554542683098,0.3299999998988848,0.3299996308017456,60.00000002119335,1.0111522730227307e-10,3.691982544129502e-07,-2.1193358953338902e-08,5.0557613651136535e-11,1.845991272064751e-07,-3.698938932927831e-12,-0.1059024882333688,-0.17151845653422726,10.674430352094648
330,-0.37433716490602703,0.2503831506937655,0.4503554542594315,0.3299999998942942,0.32999961404029654,60.000000021216316,1.057058329756444e-10,3.8595970347499176e-07,-2.121632255813907e-08,5.28529164878222e-11,1.9297985173749588e-07,-3.702946838046728e-12,-0.09818098085518666,-0.17605230172866357,10.674430451276558
331,-0.385087207255264,0.233512051042805,0.45035545425127943,0.32999999988949513,0.32999959651788524,60.00000002123923,1.105048830218891e-10,4.034821147747003e-07,-2.123923527406433e-08,5.525244151094455e-11,2.0174105738735015e-07,-3.706945861381427e-12,-0.09026574619246788,-0.18023876666725175,10.674430555643392
332,-0.39507740896902915,0.21618019356422377,0.45035545424380813,0.32999999988447826,0.3299995781999642,60.00000002126202,1.1552175882556526e-10,4.218000357880669e-07,-2.1262020767802334e-08,5.776087941278263e-11,2.1090001789403345e-07,-3.7109226802556354e-12,-0.0821724023099175,-0.18406959076344667,10.6744306638629
333,-0.4042880577300003,0.19842177687414728,0.45035545423697265,0.3299999998792336,0.3299995590504177,60.00000002128475,1.2076639688274327e-10,4.409495822921272e-07,-2.1284755372665436e-08,6.038319844137163e-11,2.204747911460636e-07,-3.7148906173456455e-12,-0.07391691871114053,-0.18753721516879862,10.674430776255495
334,-0.41270097940752676,0.18027184126045379,0.4503554542307288,0.32999999987375084,0.3299995390314903,60.00000002130734,1.2624917777870337e-10,4.609685096967908e-07,-2.1307350033122554e-08,6.312458888935168e-11,2.304842548483954e-07,-3.718834129529114e-12,-0.06551558482817565,-0.19063479768780914,10.674430894171795
335,-0.4202995739181891,0.16176619954250113,0.4503554542250328,0.3299999998680192,0.3299995181037126,60.000000021329875,1.319808151656332e-10,4.818962874297839e-07,-2.1329881082486042e-08,6.59904075828166e-11,2.4094814371489193e-07,-3.722766539482336e-12,-0.05698497787975614,-0.19335622627871277,10.674431018262487
336,-0.4270688479805054,0.14294136640652208,0.45035545421984136,0.3299999998620274,0.329999496225823,60.00000002135228,1.3797263331838394e-10,5.037741770408388e-07,-2.135228490966227e-08,6.898631665919197e-11,2.518870885204194e-07,-3.726676744975066e-12,-0.04834193016172113,-0.1956961311135444,10.67443114796316
337,-0.432995444699151,0.12383448635611989,0.45035545421511175,0.3299999998557635,0.3299994733546868,60.000000021374596,1.4423651162331907e-10,5.266453131924642e-07,-2.1374599681307416e-08,7.211825581165954e-11,2.633226565962321e-07,-3.730571407345451e-12,-0.03960349583411604,-0.19764989517369705,10.67443128328651
338,-0.43806766992031915,0.10448326042003053,0.4503554542108018,0.32999999984921524,0.3299994494452113,60.00000002139682,1.5078477355601194e-10,5.505547887030282e-07,-2.1396825397421486e-08,7.539238677800597e-11,2.752773943515141e-07,-3.7344505265934916e-12,-0.030786917270520447,-0.19921366336006174,10.674431424103584
339,-0.4422755153062173,0.08492587176176873,0.4503554542068703,0.32999999984236966,0.3299994244502561,60.00000002141894,1.5763035321469943e-10,5.755497439197121e-07,-2.1418949335785746e-08,7.881517660734971e-11,2.8777487195985607e-07,-3.738311882273138e-12,-0.021909591035998013,-0.200384350099775,10.67443157201647
340,-0.4456106780831703,0.06520091033794251,0.4503554542032762,0.32999999983521333,0.3299993983205409,60.000000021440925,1.647866842979795e-10,6.016794590890662e-07,-2.1440933329744022e-08,8.239334214898975e-11,3.008397295445331e-07,-3.742148813046242e-12,-0.012989033560801555,-0.2011596454345638,10.674431725972019
341,-0.4480665774243644,0.04534729675389785,0.4503554541999797,0.3299999998277321,0.32999937100454824,60.00000002146284,1.722679221494161e-10,6.289954517790797e-07,-2.1462840990389942e-08,8.613396107470805e-11,3.1449772588953984e-07,-3.745972421143051e-12,-0.004042846577565321,-0.20153801957867498,10.674431888518821
342,-0.44963836743490554,0.025404205466938678,0.45035545419694156,0.32999999981991124,0.32999934244842155,60.0000000214846,1.8008877722408556e-10,6.57551578464588e-07,-2.148460870662988e-08,9.004438861204278e-11,3.28775789232294e-07,-3.749771604333319e-12,0.004911317609820099,-0.20151872593739575,10.674432056996233
343,-0.4503229467135706,0.005410987488654956,0.450355454194124,0.3299999998117353,0.32999931259585924,60.00000002150628,1.8826473713318137e-10,6.87404140775616e-07,-2.1506287367338734e-08,9.413236856659069e-11,3.43702070387808e-07,-3.7535552444012415e-12,0.013855790957116825,-0.20110180258020874,10.674432233334125
344,-0.4501189644723845,-0.014592907261119928,0.45035545419149015,0.32999999980318817,0.3299992813880037,60.000000021527825,1.9681184459940937e-10,7.186119962976356e-07,-2.1527826083641605e-08,9.840592229970468e-11,3.593059981488178e-07,-3.7573144595626215e-12,0.022772924541707287,-0.20028807216567554,10.67443241771356
345,-0.4490268232019486,-0.034568007795514215,0.45035545418900474,0.329999999794253,0.3299992487633253,60.00000002154928,2.057470305238951e-10,7.512366747008947e-07,-2.154928846663212e-08,1.0287351526194755e-10,3.7561833735044736e-07,-3.761060352047707e-12,0.03164512338683299,-0.19907914031819632,10.674432610728267
346,-0.44704867787726094,-0.05447489994339159,0.45035545418663414,0.3299999997849122,0.32999921465750076,60.00000002157061,2.1508783643042761e-10,7.853424992543268e-07,-2.1570610905216653e-08,1.0754391821521381e-10,3.926712496271634e-07,-3.7647818196262505e-12,0.04045488117938743,-0.19747739245984883,10.674432812009229
347,-0.4441884317055958,-0.07427430412001836,0.4503554541843473,0.32999999977514727,0.32999917900328657,60.00000002159184,2.2485274753236695e-10,8.209967134464868e-07,-2.1591844288270103e-08,1.1242637376618347e-10,4.104983567232434e-07,-3.76848774408245e-12,0.04918481481276296,-0.19548598910355777,10.674433022993542
348,-0.4404517284248313,-0.09392715283216936,0.450355454182115,0.32999999976493904,0.3299991417303868,60.00000002161295,2.350609706880391e-10,8.58269613213114e-07,-2.1612950449136296e-08,1.1753048534401955e-10,4.29134806606557e-07,-3.772171464078155e-12,0.05781769868658976,-0.1931088596168825,10.674433243677747
