Time(s),Radius(m),X_center(m),Y_center(m)
344.000000,0.544752,0.199702,-0.506827
345.000000,0.545170,0.186842,-0.512153
346.000000,0.545532,0.173820,-0.517100
347.000000,0.546035,0.161224,-0.521691
348.000000,0.546916,0.148548,-0.526357
349.000000,0.547590,0.135332,-0.530603
350.000000,0.548232,0.122609,-0.534345
351.000000,0.548597,0.109271,-0.537604
352.000000,0.549530,0.096221,-0.541041
353.000000,0.549940,0.082945,-0.543649
354.000000,0.549809,0.070182,-0.545311
355.000000,0.550033,0.056732,-0.547099
356.000000,0.550334,0.042970,-0.548654
357.000000,0.550002,0.029037,-0.549235
358.000000,0.549565,0.015260,-0.549353
359.000000,0.548932,0.000626,-0.548931
360.000000,0.549055,-0.012214,-0.548919
361.000000,0.548659,-0.025683,-0.548057
362.000000,0.548610,-0.039744,-0.547168
363.000000,0.548092,-0.053171,-0.545507
364.000000,0.547355,-0.066752,-0.543270
365.000000,0.546730,-0.080070,-0.540834
366.000000,0.546024,-0.093580,-0.537945
367.000000,0.545537,-0.106467,-0.535047
368.000000,0.544797,-0.119270,-0.531581
369.000000,0.545024,-0.132405,-0.528696
370.000000,0.544898,-0.144839,-0.525295
371.000000,0.544905,-0.158139,-0.521454
372.000000,0.545350,-0.170993,-0.517849
373.000000,0.544058,-0.183714,-0.512102
374.000000,0.543780,-0.196027,-0.507218
375.000000,0.543344,-0.208893,-0.501584
376.000000,0.543193,-0.220833,-0.496278
377.000000,0.542709,-0.233492,-0.489913
378.000000,0.542362,-0.245920,-0.483405
379.000000,0.542305,-0.258459,-0.476753
380.000000,0.541762,-0.269982,-0.469698
381.000000,0.541248,-0.281599,-0.462224
382.000000,0.540736,-0.292999,-0.454475
383.000000,0.540217,-0.304244,-0.446396
384.000000,0.539937,-0.315553,-0.438131
385.000000,0.539417,-0.326509,-0.429374
386.000000,0.538703,-0.337060,-0.420228
387.000000,0.538642,-0.347734,-0.411360
388.000000,0.538010,-0.357790,-0.401797
389.000000,0.537441,-0.367881,-0.391799
390.000000,0.536798,-0.377527,-0.381609
391.000000,0.537012,-0.387484,-0.371803
392.000000,0.536450,-0.396832,-0.360974
393.000000,0.536202,-0.405378,-0.350973
394.000000,0.535999,-0.414162,-0.340243
395.000000,0.536046,-0.422756,-0.329580
396.000000,0.536145,-0.431526,-0.318177
397.000000,0.536092,-0.439173,-0.307444
398.000000,0.535644,-0.446731,-0.295543
399.000000,0.535547,-0.454173,-0.283790
400.000000,0.535622,-0.461382,-0.272063
401.000000,0.534658,-0.467319,-0.259755
402.000000,0.534224,-0.473453,-0.247461
403.000000,0.533845,-0.479255,-0.235171
404.000000,0.533399,-0.484802,-0.222443
405.000000,0.532816,-0.490039,-0.209177
406.000000,0.532392,-0.494692,-0.196777
407.000000,0.532178,-0.499413,-0.183847
408.000000,0.532036,-0.503807,-0.170998
409.000000,0.532004,-0.508019,-0.157941
410.000000,0.531835,-0.511757,-0.144753
411.000000,0.531656,-0.515028,-0.131926
412.000000,0.531809,-0.518398,-0.118678
413.000000,0.531950,-0.521473,-0.105053
414.000000,0.531847,-0.523937,-0.091383
415.000000,0.532370,-0.526656,-0.077793
416.000000,0.532744,-0.528852,-0.064278
417.000000,0.532564,-0.530164,-0.050509
418.000000,0.532550,-0.531269,-0.036926
419.000000,0.532268,-0.531759,-0.023287
420.000000,0.532068,-0.531971,-0.010159
421.000000,0.531823,-0.531812,0.003388
422.000000,0.531526,-0.531230,0.017752
423.000000,0.531576,-0.530636,0.031601
424.000000,0.531452,-0.529496,0.045557
425.000000,0.531518,-0.528222,0.059106
426.000000,0.531757,-0.526686,0.073259
427.000000,0.531818,-0.524735,0.086504
428.000000,0.531616,-0.522190,0.099666
429.000000,0.531308,-0.519129,0.113105
430.000000,0.531605,-0.516223,0.126957
431.000000,0.531496,-0.512766,0.139852
432.000000,0.531959,-0.509377,0.153348
433.000000,0.531658,-0.505132,0.165837
434.000000,0.531497,-0.501045,0.177320
435.000000,0.531516,-0.496315,0.190213
436.000000,0.531635,-0.491234,0.203284
437.000000,0.530910,-0.485297,0.215295
438.000000,0.530705,-0.479298,0.227862
439.000000,0.530360,-0.472780,0.240333
440.000000,0.530287,-0.466576,0.252014
441.000000,0.529574,-0.459583,0.263119
442.000000,0.529218,-0.452232,0.274880
443.000000,0.529287,-0.444811,0.286858
444.000000,0.529203,-0.437069,0.298374
445.000000,0.528130,-0.428584,0.308606
446.000000,0.527607,-0.420224,0.319030
447.000000,0.527301,-0.411247,0.330034
448.000000,0.527019,-0.402040,0.340753
449.000000,0.527207,-0.392910,0.351524
450.000000,0.526866,-0.383250,0.361534
451.000000,0.526943,-0.373792,0.371414
452.000000,0.526085,-0.363230,0.380565
453.000000,0.525556,-0.352684,0.389645
454.000000,0.525738,-0.342330,0.399012
455.000000,0.525545,-0.331514,0.407794
456.000000,0.525491,-0.320508,0.416432
457.000000,0.524858,-0.309316,0.424028
458.000000,0.524186,-0.298589,0.430831
459.000000,0.523664,-0.285684,0.438872
460.000000,0.523290,-0.273851,0.445913
461.000000,0.522623,-0.261597,0.452440
462.000000,0.522901,-0.249501,0.459538
463.000000,0.522823,-0.237439,0.465796
464.000000,0.522403,-0.224823,0.471550
465.000000,0.522472,-0.212106,0.477481
466.000000,0.522738,-0.199727,0.483078
467.000000,0.522235,-0.186540,0.487783
468.000000,0.522502,-0.173869,0.492725
469.000000,0.522510,-0.160536,0.497238
470.000000,0.522588,-0.146996,0.501488
471.000000,0.523090,-0.133822,0.505682
472.000000,0.523250,-0.120116,0.509277
473.000000,0.523653,-0.106370,0.512736
474.000000,0.524495,-0.094230,0.515961
475.000000,0.524843,-0.079535,0.518782
476.000000,0.525656,-0.066115,0.521481
477.000000,0.526129,-0.052219,0.523531
478.000000,0.526096,-0.038634,0.524676
479.000000,0.526314,-0.024495,0.525744
480.000000,0.527233,-0.011792,0.527102
481.000000,0.527355,0.003187,0.527345
482.000000,0.527693,0.015639,0.527461
483.000000,0.527813,0.030838,0.526911
484.000000,0.528219,0.044741,0.526321
485.000000,0.528171,0.056928,0.525094
486.000000,0.528119,0.070894,0.523339
487.000000,0.528353,0.084976,0.521475
488.000000,0.528206,0.098960,0.518854
489.000000,0.528462,0.112482,0.516352
490.000000,0.528947,0.127324,0.513394
491.000000,0.529554,0.139410,0.510874
492.000000,0.530215,0.152926,0.507683
493.000000,0.530907,0.167094,0.503926
494.000000,0.530964,0.179174,0.499819
495.000000,0.531147,0.192096,0.495193
496.000000,0.531275,0.206279,0.489594
497.000000,0.531395,0.217161,0.484997
498.000000,0.530911,0.230364,0.478330
499.000000,0.530769,0.242972,0.471890
500.000000,0.530194,0.253828,0.465486
501.000000,0.529443,0.265387,0.458126
502.000000,0.529246,0.277066,0.450927
503.000000,0.529251,0.289132,0.443293
504.000000,0.529332,0.300578,0.435712
505.000000,0.529665,0.313079,0.427231
