Time(s),radii001_radius,radii001_x,radii001_y,radii01_radius,radii01_x,radii01_y,radii02_radius,radii02_x,radii02_y,radii03_radius,radii03_x,radii03_y,radii04_radius,radii04_x,radii04_y,radii05_radius,radii05_x,radii05_y
54.000000,0.158407,0.158178,0.008517,0.254608,0.119885,0.224617,0.318321,0.301853,-0.101060,0.407726,0.374890,0.160306,0.492582,0.489187,0.057732,0.591857,-0.550178,-0.218171
55.000000,0.158213,0.158115,-0.005577,0.255433,0.134027,0.217446,0.318769,0.297482,-0.114535,0.408086,0.380566,0.147323,0.493378,0.491451,0.043565,0.592421,-0.555821,-0.205003
56.000000,0.158874,0.157532,-0.020611,0.255087,0.145966,0.209197,0.318690,0.292027,-0.127605,0.408453,0.385621,0.134647,0.494329,0.493430,0.029799,0.592504,-0.560396,-0.192399
57.000000,0.159333,0.155830,-0.033230,0.254839,0.155465,0.201924,0.318864,0.286358,-0.140263,0.408935,0.390501,0.121395,0.496184,0.495926,0.016017,0.593563,-0.565691,-0.179752
58.000000,0.159940,0.152950,-0.046767,0.254618,0.166531,0.192608,0.318896,0.279917,-0.152779,0.409250,0.394728,0.108053,0.497537,0.497533,0.001996,0.593911,-0.570026,-0.166734
59.000000,0.160073,0.148255,-0.060363,0.254825,0.178064,0.182288,0.319151,0.273178,-0.165019,0.409835,0.398800,0.094465,0.498789,0.498643,-0.012068,0.594255,-0.573629,-0.155206
60.000000,0.161120,0.143605,-0.073056,0.254454,0.186954,0.172613,0.319180,0.265513,-0.177141,0.410042,0.401945,0.081087,0.500272,0.499594,-0.026035,0.594194,-0.575679,-0.147175
61.000000,0.160798,0.135814,-0.086085,0.254312,0.197201,0.160581,0.319522,0.257855,-0.188693,0.410624,0.405022,0.067595,0.501216,0.499650,-0.039586,0.595069,-0.579567,-0.134940
62.000000,0.161319,0.128827,-0.097095,0.254291,0.205072,0.150365,0.319529,0.249171,-0.200031,0.410765,0.407222,0.053828,0.502039,0.499159,-0.053697,0.596558,-0.584116,-0.121205
63.000000,0.161729,0.119606,-0.108861,0.254380,0.213135,0.138863,0.319809,0.240139,-0.211213,0.410204,0.408234,0.040158,0.503158,0.498613,-0.067476,0.596814,-0.586881,-0.108433
64.000000,0.162453,0.110163,-0.119396,0.254656,0.221653,0.125377,0.320079,0.230801,-0.221769,0.410655,0.409795,0.026549,0.503854,0.497322,-0.080870,0.597652,-0.589978,-0.095471
65.000000,0.162980,0.099642,-0.128972,0.254750,0.227731,0.114175,0.320242,0.220925,-0.231835,0.410887,0.410685,0.012885,0.504148,0.495181,-0.094664,0.598310,-0.592638,-0.082189
66.000000,0.163710,0.088631,-0.137643,0.254205,0.233817,0.099748,0.320605,0.210246,-0.242041,0.411576,0.411574,-0.001360,0.504470,0.492674,-0.108452,0.599420,-0.595438,-0.068976
