# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:41:52.855301+00:00
# trials_per_cell: 4
# steps: 500
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S6: (-0.2, -0.3)  seed_offset: 29
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y,min_gradD_path
0.01,0.0,10007948,-0.2,-0.3,2.098688062851728,-1,69,0,0,0,-1,0,0.48067795868890867,0.688155968828853,1.9808655776592236e-10,0.9735581858838761,-0.7136294001979628,-0.5223760093540873,0.12888695919716647
0.01,0.0,10015867,-0.2,-0.3,2.839985361155558,-1,108,0,0,0,-1,0,0.8280271152573659,0.9901576312508682,4.354172881894731e-10,1.5358791953102897,-1.0048456374934693,-0.4490178426577652,0.4072408115918562
0.01,0.0,10023786,-0.2,-0.3,0.8592836599239498,-1,49,0,0,0,-1,0,0.35772290903226917,0.5130540123080308,1.1145258404862105e-10,0.687645902033767,-0.5371044042234273,-0.5203162785106872,0.1357388123099566
0.01,0.01,10010029,-0.2,-0.3,3.9895004906109497,-1,156,0,0,0,-1,0,0.9799077165404101,0.9960167689168838,8.421772348454851e-10,2.1403229035737668,-1.0026334870341944,0.20697613811444807,0.21336906746316625
0.01,0.01,10017948,-0.2,-0.3,5.371452702982635,-1,69,0,0,0,-1,0,0.502384661123002,0.6950685066151261,2.080676362965308e-10,0.9276389206712786,-0.7202927915902922,-0.5215913581994526,0.22115914227195396
0.01,0.01,10025867,-0.2,-0.3,3.081207250275198,-1,33,0,0,0,-1,0,0.3041475302183967,0.38614429921008053,8.712662622356773e-11,0.47381353500723183,-0.39205030668003144,-0.5204908459303624,2.0018123813310265
0.01,0.01,10033786,-0.2,-0.3,0.2992535654304145,-1,64,0,0,0,-1,0,0.4757909075026777,0.6958314535765064,2.0806741946535015e-10,0.92205402961826,-0.7204729752820808,-0.520423018869765,0.22453268001108181
0.02,0.0,20000029,-0.2,-0.3,4.082044535154301,-1,30,0,0,0,-1,0,0.2109642486903091,0.2753146623324046,5.4049791885370396e-11,0.4220231972868431,-0.29222219914115516,-0.5209892288076321,3.0240455856642856
0.02,0.0,20007948,-0.2,-0.3,5.764357857990068,305,317,0,1,0,304,0,0.025819731556231823,0.043634707440705627,9.005121855836615e-07,4.3067164012715144,-0.014625795643623726,0.5205584216130502,0.3624999867569379
0.02,0.0,20015867,-0.2,-0.3,4.6848106559442915,-1,59,0,0,0,-1,0,0.4171014423272468,0.6150196586258917,1.5471651611528425e-10,0.7893536074562006,-0.6227765250024441,-0.5240345744968782,0.38135614155832337
0.02,0.0,20023786,-0.2,-0.3,5.268337035831885,-1,228,0,0,0,-1,0,0.8559934719489735,0.9693244475877125,2.1023895357621207e-09,3.0722092289465954,-0.6726665408204949,0.5258179287564948,0.569413670514893
0.02,0.01,20010029,-0.2,-0.3,0.46245889298906456,-1,243,0,0,0,-1,0,0.6591840653195254,0.8522446288417572,9.759329749208477e-09,3.2580876887333066,-0.43854936868795047,0.5201317599547605,0.23431131315250595
0.02,0.01,20017948,-0.2,-0.3,5.890122642949425,-1,167,0,0,0,-1,0,0.9660414910221722,0.9974114289649141,9.200419553442756e-10,2.2598430844889825,-1.0013715213302978,0.037510792947272,0.23814117337615787
0.02,0.01,20025867,-0.2,-0.3,5.318604032350073,-1,152,0,0,0,-1,0,0.9781476786041194,0.9936178587946239,8.078796226971617e-10,2.045111939545042,-1.0005458276731192,-0.08068195856977883,0.4547171358810492
