# generated_by: experiments/mc_sweep_acquisition.py
# git_commit: 148df0a
# date: 2026-07-17T07:55:06.849172+00:00
# trials_per_cell: 1000
# variant: relaxed  max_steps: 800  x_exit: 1.1  y_exit: 0.6
# controller: separatrix_logic_c_step (Logic C)
# start_mode: fixed  start_S6: (-0.2, -0.3)  seed_offset: 29
# band_x: 0.05  collapse_rms: 0.3  saddle_contact_d: 0.06
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y,min_gradD_path,min_dist_network
0.0,0.0,190085,-0.2,-0.3,6.245899362639063,-1,16,1,0,1,11,0,0.1115544922935584,0.18986405357257596,2.413795236425975e-11,0.27152900397563423,-0.01893899351333182,-0.4440432821744138,1.3931330468214278,0.031395982710727806
0.0,0.0,198004,-0.2,-0.3,4.3545693762669,233,248,0,1,0,231,0,0.010312073256483369,0.0385551756829619,2.014635343831308e-08,3.1821815169672143,-0.0009725968531315484,0.6064197060690872,0.05776938487958481,9.505517228891591e-08
0.0,0.0,205923,-0.2,-0.3,0.48022743807396046,232,246,0,1,0,230,0,0.008595688148523429,0.030297964591724225,1.8238558922198e-08,3.1633902329738253,0.0025583865343642245,0.6059141127373303,0.03407391426780845,3.8272089930568853e-07
0.0,0.0,213842,-0.2,-0.3,3.2364117095568585,-1,165,0,0,0,-1,0,1.0124960327541594,1.0760088450411407,9.912942345420186e-10,2.1485169688653984,-1.1042486301027477,0.503444848221296,0.07669232116756414,6.124026779907865e-06
0.0,0.0,221761,-0.2,-0.3,0.17610251956975378,-1,20,1,0,1,12,0,0.09891629225996414,0.19567708156976601,2.4138003965511998e-11,0.3393840709175538,0.01642735651529036,-0.45194768780448885,1.1395745598733849,0.0018833228556802695
0.0,0.0,229680,-0.2,-0.3,0.5262048421624936,-1,87,0,0,0,-1,0,0.8825631545104318,1.0238967128857532,2.9550050257281824e-10,1.2215197785424943,-0.9928563140607527,-0.6072686726200918,0.07916686630579771,8.356754003668865e-05
0.0,0.0,237599,-0.2,-0.3,0.9004136075388877,-1,85,0,0,0,-1,0,0.8232001421048818,0.991038243636104,3.1069939169794314e-10,1.1667576027092241,-0.9094953531203087,-0.6000074491167028,0.02507746034545754,4.5509310375724255e-07
0.0,0.0,245518,-0.2,-0.3,2.9316560401882765,-1,163,0,0,0,-1,0,1.0067863646806603,1.0709518543470247,9.995535480528286e-10,2.1421580159142906,-1.1023113727355682,0.48033523284907903,0.05865115955401129,1.1712260448826228e-05
0.0,0.0,253437,-0.2,-0.3,0.8208966552293667,-1,166,0,0,0,-1,0,1.012785729120346,1.0720631892269596,9.841690171004124e-10,2.1660483805182467,-1.1002033379228218,0.502896502550629,0.04428754370551536,4.584154904896387e-06
0.0,0.0,261356,-0.2,-0.3,0.4517772039345802,231,246,0,1,0,229,0,0.011575444505794622,0.041192329210375474,7.199409817341186e-09,3.1667156580139744,0.0031128732052651312,0.606178568212416,0.015445792746859893,3.966662974752566e-06
