environment,primitive,field_mode,radius,avg_dist_origin,std_dist_origin,avg_dist_to_est_center,std_dist_to_est_center,est_center_x_mean,est_center_x_std,est_center_y_mean,est_center_y_std
saddle1,4R_orbiter_planar,analytical,0.2,0.2753167715566354,0.01594377505539738,0.2753167715566354,0.01594377505539738,-1.956323964362622e-18,3.541878525995642e-17,2.5326052216499758e-18,3.8317154006641216e-17
saddle1,4R_orbiter_planar,analytical,0.3,0.3580206496000251,0.012693104566339642,0.3580206496000251,0.012693104566339647,-3.0233166350057543e-18,6.190693646540149e-17,-1.6666773833817787e-18,6.260096303876247e-17
saddle1,4R_orbiter_planar,analytical,0.4,0.44656739256330014,0.010362453182863614,0.44656739256330014,0.010362453182863622,-3.69342948448627e-18,9.240656913921419e-17,5.626872128160585e-18,8.817303761059896e-17
saddle1,4R_orbiter_planar,analytical,0.5,0.5386341307342271,0.008680178220292548,0.5386341307342271,0.008680178220292557,-1.2584094354583394e-17,1.269823651027114e-16,3.3911222176862504e-18,1.1964558520255427e-16
saddle1,4R_orbiter_planar,analytical,0.6,0.6328944916947017,0.007433977971266728,0.6328944916947017,0.007433977971266709,4.573769573406806e-18,1.7463877096723457e-16,3.095252222852068e-18,1.867794394644559e-16
saddle1,4R_orbiter_planar,nn,0.1,0.1913731422382339,0.01906217457890862,0.19867061477651218,0.03147580284141774,-0.005368525727819317,0.01865236815735838,-0.014836878790870945,0.02250371531665182
saddle1,4R_orbiter_planar,nn,0.2,0.2814139801458658,0.027150488925949994,0.2622775007891987,0.023661016756948813,-0.010003859508969674,0.026050173644149154,-0.019165036681365114,0.030553604171524612
saddle1,4R_orbiter_planar,nn,0.3,0.3759658501514228,0.0369245363462204,0.3548898256460167,0.06220495834884426,-0.018626460109985823,0.047212228540800066,-0.011356594191500171,0.06728619066514631
saddle1,4R_orbiter_planar,nn,0.4,0.44447829813163053,0.04182492553616487,0.4532278228673198,0.10827394499581955,-0.015593313946336012,0.07715135868015574,0.002407749571251398,0.10446815275268287
saddle1,4R_orbiter_planar,nn,0.5,0.5066164658459834,0.046608333008727514,0.5755427633809984,0.16585125335816353,-0.010042322120210745,0.13225863556250916,0.010378640736683336,0.16387229392362487
saddle1,4R_orbiter_planar,nn,0.6,0.56200056230992,0.048088253667904465,0.7084476643698975,0.24191210264035437,0.0064292795983944655,0.2132420401560464,0.03482638595262929,0.2359995709012877
saddle1,4R_orbiter_planar,rbf,0.1,0.2042553677472846,0.02471618771776699,0.4028642316242958,1.5274221594279984,0.05004865673819019,0.8577503327927762,-0.09293960599724017,1.284856921689736
saddle1,4R_orbiter_planar,rbf,0.2,0.27801989019433326,0.04152804260774187,0.5702105166092848,2.0007940297864755,-0.2525713230170927,1.584841431176155,0.030200334209892658,1.3284351592994077
saddle1,4R_orbiter_planar,rbf,0.3,0.35321019489400973,0.055039971076880204,0.6476706627264811,1.7243899955714237,-0.01718949637352651,1.5135414777145624,-0.004015835184809688,1.0062737540068745
saddle1,4R_orbiter_planar,rbf,0.4,0.4317406960435395,0.061897289471779034,3.0867303887106345,35.164858048702726,2.0547286048176066,34.85480014341333,-0.04636470485034398,5.345076945425872
