Time(s),Radius(m)
456.000000,0.422921
457.000000,0.405859
458.000000,0.379836
459.000000,0.351278
460.000000,0.349924
461.000000,0.351115
462.000000,0.349936
463.000000,0.348858
464.000000,0.349905
465.000000,0.351768
466.000000,0.354021
467.000000,0.355585
468.000000,0.355959
469.000000,0.355961
470.000000,0.354028
471.000000,0.352358
472.000000,0.352309
473.000000,0.350594
474.000000,0.349435
475.000000,0.349287
476.000000,0.350034
477.000000,0.351960
478.000000,0.354403
479.000000,0.356987
480.000000,0.360418
481.000000,0.365179
482.000000,0.369768
483.000000,0.375880
484.000000,0.382721
485.000000,0.389816
486.000000,0.398333
487.000000,0.405992
488.000000,0.413145
489.000000,0.420790
490.000000,0.428963
491.000000,0.436811
492.000000,0.444846
493.000000,0.452741
494.000000,0.461071
495.000000,0.468878
496.000000,0.476526
497.000000,0.485099
498.000000,0.491452
499.000000,0.499466
500.000000,0.506490
501.000000,0.513558
502.000000,0.520363
503.000000,0.524479
504.000000,0.528594
505.000000,0.534215
506.000000,0.534924
507.000000,0.533552
508.000000,0.532113
509.000000,0.529256
510.000000,0.526292
511.000000,0.522498
512.000000,0.522267
513.000000,0.519910
514.000000,0.518511
515.000000,0.516727
516.000000,0.516870
517.000000,0.512636
518.000000,0.508635
519.000000,0.508238
520.000000,0.505074
521.000000,0.497461
522.000000,0.488569
523.000000,0.492698
524.000000,0.497314
525.000000,0.500607
526.000000,0.502252
527.000000,0.498236
528.000000,0.484761
529.000000,0.470097
530.000000,0.462181
531.000000,0.454300
532.000000,0.449158
533.000000,0.440572
534.000000,0.429232
535.000000,0.422534
536.000000,0.415258
537.000000,0.412848
538.000000,0.405857
539.000000,0.392358
540.000000,0.380805
541.000000,0.371602
542.000000,0.360586
543.000000,0.349557
544.000000,0.338669
545.000000,0.328631
546.000000,0.320260
547.000000,0.313811
548.000000,0.307373
549.000000,0.301284
550.000000,0.295428
551.000000,0.290553
552.000000,0.285374
553.000000,0.280579
554.000000,0.276360
555.000000,0.272407
556.000000,0.271328
557.000000,0.268991
558.000000,0.266646
559.000000,0.266120
560.000000,0.264924
561.000000,0.264501
562.000000,0.268174
563.000000,0.270571
564.000000,0.272546
565.000000,0.271048
566.000000,0.268304
567.000000,0.266209
568.000000,0.265523
569.000000,0.264233
570.000000,0.263093
571.000000,0.262194
572.000000,0.261188
573.000000,0.260525
574.000000,0.259810
575.000000,0.260360
576.000000,0.263432
577.000000,0.265488
578.000000,0.266449
579.000000,0.268662
580.000000,0.270179
581.000000,0.271420
582.000000,0.273150
